topic,assigned,demilestoned,reopened,referenced,subscribed,mentioned,marked_as_duplicate,cross-referenced,connected,pinned,committed,review_requested,review_dismissed
topic_0,7,8,1,14,71,72,0,0,0,0,0,0,0
topic_1,638,224,66,1397,1930,1818,3,0,2,0,0,158,0
