topic,up_count,down_count,laugh_count,confused_count,heart_count,hooray_count,rocket_count,eyes_count,post_total_count,post_with_up_count
topic_0,2,0,0,0,0,0,0,0,38,1
topic_1,124,4,4,3,5,4,0,2,2149,81
