id,postid,posthistorytypeid,creationdate,Name,comment
"1388343","289601","16","2008-11-14 09:26:35","Community Owned",""
"13957348","6117213","24","2011-06-20 17:21:50","Suggested Edit Applied","Proposed by 5000 approved by 15168, 23234 edit id of 63270"
"20546985","8916171","34","2012-01-31 02:25:04","Post Notice Removed","6086"
"21639793","9476681","33","2012-03-01 05:31:49","Post Notice Added","8133"
"21633175","1019204","24","2012-02-29 23:41:52","Suggested Edit Applied","Proposed by 228059 approved by 615754, -1 edit id of 211732"
"21626671","9461960","33","2012-02-29 20:07:32","Post Notice Added","8114"
"21602018","5514405","34","2012-02-29 08:43:29","Post Notice Removed","7755"
"21521592","9462611","10","2012-02-27 10:39:25","Post Closed","7"
"21504678","9456787","24","2012-02-26 20:32:54","Suggested Edit Applied","Proposed by 781707 approved by 34397, 623518 edit id of 209718"
"21485728","5514405","24","2012-02-26 00:10:31","Suggested Edit Applied","Proposed by 1224016 approved by 119280, 8655 edit id of 209414"
"21458020","9434248","10","2012-02-24 21:17:57","Post Closed","1"
"21432644","8298054","24","2012-02-24 09:19:43","Suggested Edit Applied","Proposed by 114124 approved by 246310, 83039 edit id of 208491"
"21398308","3376515","10","2012-02-23 13:54:09","Post Closed","3"
"21397974","703272","24","2012-02-23 13:46:30","Suggested Edit Applied","Proposed by 1147455 approved by 817452, 28004 edit id of 207873"
"21389347","5514405","33","2012-02-23 10:02:20","Post Notice Added","7755"
"21374422","3376515","34","2012-02-22 23:12:26","Post Notice Removed","7340"
"21363971","9385817","24","2012-02-22 18:11:39","Suggested Edit Applied","Proposed by 1147455 approved by 165050, 246310 edit id of 207208"
"21312264","9362068","10","2012-02-21 14:47:15","Post Closed","4"
"21271130","9362129","24","2012-02-20 14:55:45","Suggested Edit Applied","Proposed by 1147455 approved by 169346, 714968 edit id of 205406"
"21262312","9359228","24","2012-02-20 10:21:49","Suggested Edit Applied","Proposed by 296485 approved by 113141, 233 edit id of 205256"
"21217106","4143098","24","2012-02-18 13:36:58","Suggested Edit Applied","Proposed by 918472 approved by 14089, 48503, 194544 edit id of 204452"
"21195216","9332968","24","2012-02-17 17:55:16","Suggested Edit Applied","Proposed by 264650 approved by -1 edit id of 204087"
"21181814","9317615","10","2012-02-17 11:41:58","Post Closed","4"
"21121528","3376515","33","2012-02-15 23:07:45","Post Notice Added","7340"
"21087595","9034741","10","2012-02-15 07:01:28","Post Closed","3"
"21016564","7435276","24","2012-02-13 13:00:56","Suggested Edit Applied","Proposed by 926875 approved by 1288 edit id of 200458"
"21015878","9141198","34","2012-02-13 12:41:44","Post Notice Removed","6855"
"20982635","9091900","34","2012-02-12 08:49:47","Post Notice Removed","6743"
"20901980","8758009","10","2012-02-09 17:08:25","Post Closed","2"
"20795339","9171715","24","2012-02-07 07:00:31","Suggested Edit Applied","Proposed by 372179 approved by 41071, 359040 edit id of 196300"
"20788041","9168623","24","2012-02-07 00:07:25","Suggested Edit Applied","Proposed by 167623 approved by 119549, -1 edit id of 196204"
"20771747","9141198","33","2012-02-06 15:39:04","Post Notice Added","6855"
"20711775","9091900","33","2012-02-04 07:34:17","Post Notice Added","6743"
"20692348","9109638","10","2012-02-03 15:56:52","Post Closed","4"
"20526539","9064974","24","2012-01-30 14:29:09","Suggested Edit Applied","Proposed by 6992 approved by 123127, -1 edit id of 190986"
"20478077","9037999","10","2012-01-28 16:58:00","Post Closed","4"
"20476027","6089402","10","2012-01-28 15:17:09","Post Closed","3"
"20475031","8894282","34","2012-01-28 14:19:50","Post Notice Removed","5970"
"20459959","8241821","24","2012-01-27 20:58:34","Suggested Edit Applied","Proposed by 452880 approved by 218454, 899271 edit id of 189612"
"20441133","8894282","24","2012-01-27 11:28:28","Suggested Edit Applied","Proposed by 859229 approved by 246342, 45773 edit id of 189127"
"20432276","8904832","34","2012-01-27 04:41:00","Post Notice Removed","6077"
"20410498","9020129","24","2012-01-26 15:25:18","Suggested Edit Applied","Proposed by 1167234 approved by 620097, 900873 edit id of 188507"
"20393051","9013421","36","2012-01-26 02:51:43","Post Migrated Here","from http://programmers.stackexchange.com/questions/131892/c-sharp-membership-validateuserusername-password-throwing-an-exception"
"20381820","9008742","24","2012-01-25 19:22:11","Suggested Edit Applied","Proposed by 1063041 approved by 404, 706456 edit id of 187993"
"20274417","8916171","33","2012-01-23 00:35:08","Post Notice Added","6086"
"20272191","8926890","13","2012-01-22 22:13:56","Post Undeleted",""
"20272188","8926890","12","2012-01-22 22:13:51","Post Deleted",""
"20269496","8904832","33","2012-01-22 19:47:29","Post Notice Added","6077"
"20264520","8955534","10","2012-01-22 15:34:05","Post Closed","2"
"20254123","2375307","24","2012-01-22 01:15:26","Suggested Edit Applied","Proposed by 1154847 approved by -1 edit id of 185229"
"20249206","8953482","10","2012-01-21 20:06:31","Post Closed","4"
"20242385","8953482","24","2012-01-21 14:09:25","Suggested Edit Applied","Proposed by 1148768 approved by 128662, 409744 edit id of 184984"
"20211475","8894282","33","2012-01-20 12:33:05","Post Notice Added","5970"
"20186443","8930952","24","2012-01-19 18:34:26","Suggested Edit Applied","Proposed by 542416 approved by 220643, 76337 edit id of 183723"
"20182467","8049098","24","2012-01-19 16:38:31","Suggested Edit Applied","Proposed by 254882 approved by 29995, 1288 edit id of 183624"
"20154029","8914134","10","2012-01-18 22:28:39","Post Closed","1"
"20139570","8910050","10","2012-01-18 15:32:35","Post Closed","1"
"20062901","8875521","10","2012-01-16 15:17:57","Post Closed","4"
"19975794","8847699","24","2012-01-13 09:14:45","Suggested Edit Applied","Proposed by 497040 approved by 28169, 649687 edit id of 179405"
"19911269","8814752","24","2012-01-11 16:11:28","Suggested Edit Applied","Proposed by 27922 approved by 385844, 344491 edit id of 177932"
"19904925","8819627","24","2012-01-11 13:33:01","Suggested Edit Applied","Proposed by 350749 approved by 60108, 66849 edit id of 177811"
"19900543","8818175","24","2012-01-11 11:24:35","Suggested Edit Applied","Proposed by 1061977 approved by 185655, 754787 edit id of 177673"
"19893314","8815145","24","2012-01-11 07:10:40","Suggested Edit Applied","Proposed by 1061977 approved by 594509, 28004 edit id of 177483"
