id,postid,posthistorytypeid,creationdate,Name,comment
"21341121","9390406","10","2012-02-22 08:12:04","Post Closed","1"
"21270256","1109277","24","2012-02-20 14:31:48","Suggested Edit Applied","Proposed by 1185170 approved by 681865, 387076, 312172 edit id of 205325"
"21252124","5364485","33","2012-02-20 02:25:59","Post Notice Added","7539"
"21235046","9342152","10","2012-02-19 11:24:32","Post Closed","3"
"21208388","9338163","10","2012-02-18 03:36:46","Post Closed","1"
"21207037","7852974","24","2012-02-18 01:52:21","Suggested Edit Applied","Proposed by 1084945 approved by 377270, 827263 edit id of 204284"
"21167865","9321112","13","2012-02-17 01:52:46","Post Undeleted",""
"21167862","9321112","12","2012-02-17 01:52:31","Post Deleted",""
"21138211","9275231","33","2012-02-16 10:43:47","Post Notice Added","7357"
"21061504","9257450","10","2012-02-14 14:42:10","Post Closed","3"
"21051283","9262486","24","2012-02-14 09:49:09","Suggested Edit Applied","Proposed by 1077279 approved by 74311, 207421 edit id of 201204"
"21038437","9266978","24","2012-02-13 23:27:29","Suggested Edit Applied","Proposed by 658393 approved by 168868, 905093, 892493 edit id of 200881"
"21006792","9254304","10","2012-02-13 07:32:24","Post Closed","2"
"21001769","6967908","19","2012-02-13 02:43:49","Question Protected",""
"20991780","9240423","10","2012-02-12 17:50:00","Post Closed","3"
"20963600","9240049","10","2012-02-11 12:33:48","Post Closed","1"
"20935700","9228779","10","2012-02-10 14:05:21","Post Closed","4"
"20935588","9228779","24","2012-02-10 14:02:11","Suggested Edit Applied","Proposed by 1001520 approved by 594509, 411022 edit id of 199005"
"20825813","9184165","24","2012-02-07 21:41:02","Suggested Edit Applied","Proposed by 529548 approved by 1011995, 185544 edit id of 196983"
"20784481","9167461","10","2012-02-06 21:48:17","Post Closed","1"
"20759425","9157433","24","2012-02-06 09:07:04","Suggested Edit Applied","Proposed by 544714 approved by 243245, 18061 edit id of 195637"
"20728223","9009139","34","2012-02-04 23:34:47","Post Notice Removed","6383"
"20713082","9139375","24","2012-02-04 09:14:02","Suggested Edit Applied","Proposed by 225037 approved by 597607, 899271 edit id of 194761"
"20691461","9131019","24","2012-02-03 15:32:45","Suggested Edit Applied","Proposed by 300797 approved by 631037 edit id of 194339"
