topic,assigned,demilestoned,reopened,referenced,subscribed,mentioned,marked_as_duplicate,cross-referenced,connected,pinned,committed,review_requested,review_dismissed
topic_0,1863,18,33,183,5341,5249,1,0,1,0,0,35,0
topic_1,266,41,40,521,1089,1070,2,0,0,1,0,83,1
topic_2,590,16,50,1110,3037,3022,2,0,0,0,0,393,7
