Topic ID,Category,Sub-Category,Frequency,Norm Frequency,Share,Norm Share
0,Cryptography,Encryption,407,0.5030902348578492,391.861090902501,0.4843771210166885
1,Network Security,Digital Certificates,213,0.26328800988875156,215.92429384484421,0.26690271179832414
2,Access Control,Tokens,189,0.23362175525339926,201.21461529309454,0.2487201672349747
