id,activity_time
"1134565","657290"
"1137874","4049853"
"1139360","84"
"1139622","567"
"1141542","1013592"
"1145132","3673682"
"1146396","72"
"1147193","21"
"1149118","5682976"
"1149447","527"
"1161751","4231936"
"1162152","1434"
"1162829","2998224"
"1163074","9"
"1165040","4547671"
"1169717","17"
"1171206","36"
"1175091","925"
"1176006","5396"
"1176028","3180194"
"1178789","4258"
"1181105","185200"
"1182226","35"
"1182584","3350222"
"1183007","1283826"
"1183161","643"
"1191822","14"
"1192485","5679266"
"1196997","1208"
"1198375","143"
"1201247","12"
"1210042","4364015"
"1211236","2302978"
"1211518","865"
"1215134","2097"
"1216755","462"
"1217065","4227165"
"1220096","12249"
"1220182","3149442"
"1221447","1575510"
"1224806","2602062"
"1226406","3517599"
"1234724","1439696"
"1236374","5561958"
"1239669","4251262"
"1240718","2488622"
"1242196","2348079"
"1245387","1204163"
"1246416","637"
"1250437","499291"
"1252448","33762"
"1254180","15"
"1255759","23"
"1257830","986"
"1258820","2343018"
"1267998","632193"
"1274105","19"
"1276798","2329221"
"1283476","2162328"
"1287965","2648601"
"1288959","888317"
"1289061","3416622"
"1290975","4711144"
"1293741","69"
"1293950","4056283"
"1295346","44"
"1301863","3788028"
"1305354","13"
"1306550","5189499"
"1307495","4"
"1311697","2388400"
"1313223","4127282"
"1314213","302"
"1314521","3225973"
"1314591","21"
"1314978","1800983"
"1315677","5382827"
"1317792","237"
"1318721","114662"
"1319463","841"
"1319603","5616298"
"1320671","4602725"
"1321669","1951668"
"1324829","5276810"
"1326181","1394095"
"1328155","3680494"
"1333577","40"
"1336776","4116602"
"1336882","39005"
"1337865","583733"
"1338546","31511"
"1342190","1779958"
"1344657","18"
"1344951","2023540"
"1347810","10"
"1350331","215"
"1353128","2491840"
"1354999","5686380"
"1356888","2988750"
"1363833","2525938"
"1365254","792"
"1367065","1056018"
"1368528","181882"
"1372623","401"
"1373813","568007"
"1374288","7442"
"1378621","106534"
"1381118","32"
"1382116","762990"
"1383756","1999476"
"1383845","2803"
"1387258","627"
"1387867","541"
"1391613","2664704"
"1395740","1048"
"1398740","907688"
"1400246","5451542"
"1401727","3680041"
"1406293","12"
"1410901","1399293"
"1413320","1141361"
"1415973","617"
"1416092","29"
"1417893","4993544"
"1422391","4730583"
"1423804","4597917"
"1426570","3699579"
"1430446","5417160"
"1431313","3"
"1431842","1691"
"1432545","5596311"
"1432647","1233431"
"1440239","1538166"
"1440351","90"
"1441875","5"
"1441990","36"
"1442017","116"
"1442896","35058"
"1448455","4235233"
"1450036","208013"
"1451224","3018762"
"1453649","5"
"1453909","1160767"
"1455071","1713984"
"1455782","1041509"
"1456770","279"
"1459080","2022990"
"1459739","4958481"
"1460060","3539818"
"1462637","535"
"1463454","56"
"1465271","750738"
"1468943","2080786"
"1469798","6"
"1471037","1963315"
"1475489","208"
"1477427","42"
"1477944","17"
"1480750","16"
"1481398","1587911"
"1481821","316"
"1486056","48552"
"1487680","4157562"
"1487738","1143594"
"1489663","43"
"1489731","330"
"1499832","106704"
"1500290","4386135"
"1502682","2971846"
"1505529","4381820"
"1513543","127"
"1516661","1237223"
"1519074","1280"
"1521835","1574050"
"1523072","3943212"
"1524604","5112183"
"1527172","2644530"
"1529128","18"
"1530464","17273"
"1530797","815224"
"1531820","1630780"
"1533259","23086"
"1534012","1509"
"1535326","1690334"
"1538031","57"
"1545099","2464526"
"1546454","1768429"
"1546717","5468343"
"1549442","493777"
"1550947","1445782"
"1551463","3634008"
"1553028","188250"
"1554648","62"
"1554745","17"
"1554954","1856376"
"1555228","2344537"
"1556554","5386933"
"1558287","461"
"1562064","1582130"
"1562664","1292"
"1563438","4270126"
"1563601","1041793"
"1565035","1380"
"1565188","18082"
"1565370","5500980"
"1565533","1681415"
"1572450","24"
"1577514","2523550"
"1581136","2600995"
"1581610","5275444"
"1584420","1658"
"1584482","2540514"
"1587540","454"
"1588294","460"
"1592608","3466774"
"1593429","2098082"
"1595601","195"
"1596454","2179033"
"1598231","3456560"
"1600039","22418"
"1600102","1734572"
"1602880","22815"
"1609899","3616546"
"1610582","2587078"
"1610682","13"
"1616167","3361336"
"1619418","917"
"1629075","3890035"
"1631739","184"
"1633062","1380696"
"1633549","3216007"
"1642635","354"
"1645785","582"
"1647568","418"
"1652127","2375201"
"1662769","2090600"
"1666056","2441"
"1666415","5150780"
"1666533","23"
"1667532","9"
"1677594","4528294"
"1679844","412"
"1682831","44"
"1683843","4048708"
"1684534","2378697"
"1687893","295"
"1688568","4241604"
"1689570","347670"
"1692346","1691515"
"1693296","1133"
"1695014","1909357"
"1695973","155169"
"1696663","1890325"
"1699231","94429"
"1700189","27"
"1706158","1090568"
"1717547","125"
"1720743","2903362"
"1726406","1027"
"1727329","3891923"
"1727919","5082313"
"1728376","5456385"
"1729051","3566473"
"1734145","2881672"
"1735572","32"
"1736036","2244004"
"1737199","1837547"
"1740277","534924"
"1741376","2414803"
"1741838","1016708"
"1743963","2419114"
"1745743","12188"
"1748398","1146786"
"1749014","2877546"
"1750716","1682796"
"1757618","2446"
"1758077","53"
"1761744","3325353"
"1772133","1095539"
"1773235","11"
"1776434","1207721"
"1778778","10698"
"1780687","5114883"
"1782293","1690449"
"1783137","2311063"
"1785726","1988348"
"1787288","1514128"
"1789555","22995"
"1789709","468634"
"1790965","1316"
"1795970","2593942"
"1796203","1687085"
"1799147","3223835"
"1799384","2632"
"1804654","56843"
"1809717","1638"
"1809843","71"
"1814053","20"
"1822457","1726091"
"1824796","315285"
"1825186","6"
"1826044","7"
"1837432","5080884"
"1840720","4068900"
"1848160","1929"
"1853124","1498409"
"1853357","24"
"1859473","3737547"
"1862541","55"
"1864238","44357"
"1865020","4856049"
"1865569","55"
"1866460","14421"
"1867355","2703"
"1869984","22"
"1875052","4193900"
"1879207","752063"
"1885979","3027847"
"1886119","30"
"1886765","378"
"1889643","20343"
"1891392","2410072"
"1892958","25"
"1898072","2198464"
"1898439","2459301"
"1899259","135"
"1906977","3386686"
"1911382","3826187"
"1911697","30040"
"1917391","3483995"
"1918113","26979"
"1924714","955"
"1932200","2136043"
"1940696","4645973"
"1943589","414705"
"1945881","5340817"
"1946216","2339005"
"1946535","5"
"1947177","6"
"1949078","77"
"1952875","1365257"
"1953954","4641953"
"1954695","12"
"1954971","2555106"
"1958188","870"
"1960179","8"
"1967983","46"
"1970660","4557669"
"1975793","1955020"
"1977022","15"
"1986901","803"
"1990366","1025779"
"1993267","45"
"1994071","1491161"
"1994112","537"
"1994117","4530791"
"1994182","899"
"1994882","1101"
"1996122","5190973"
"1996344","2522827"
"1999930","2100459"
"2000431","41033"
"2002773","4243342"
"2002929","16"
"2005140","3749602"
"2011073","18"
"2011862","6"
"2012289","1321896"
"2012430","22"
"2016883","1032156"
"2017881","92069"
"2017904","1690170"
"2019279","516155"
"2019780","5208295"
"2029432","116"
"2030044","5917"
"2033814","262"
"2039163","16941"
"2043015","832676"
"2048098","2385235"
"2053568","5219162"
"2055258","2361336"
"2061969","390320"
"2063252","198"
"2063433","60858"
"2064808","9547"
"2065218","16"
"2066107","2720175"
"2070658","9244"
"2074397","4012"
"2074918","2877478"
"2075469","1009589"
"2076507","616591"
"2077341","21"
"2080976","974771"
"2082474","283"
"2084407","4667499"
"2086288","1840416"
"2087182","672627"
"2087920","99"
"2090080","1754683"
"2095227","4"
"2100699","354927"
"2102209","20"
"2102836","11733"
"2103621","3909259"
"2104936","415210"
"2105375","4475451"
"2108946","4430563"
"2112274","1000"
"2112436","5411695"
"2114888","1488208"
"2117341","333637"
"2120028","250444"
"2121818","1088"
"2124165","3846871"
"2124746","830921"
"2125724","1477892"
"2125781","2400097"
"2127028","1984695"
"2127759","11"
"2130267","234246"
"2131252","40"
"2132887","1084"
"2134553","23"
"2137357","4623882"
"2139569","407031"
"2141808","109624"
"2141875","224000"
"2144429","1772197"
"2146383","5176417"
"2149980","6"
"2150048","305"
"2151087","70"
"2152835","1914519"
"2155180","1652985"
"2155509","393898"
"2159355","4258561"
"2160158","2631"
"2161586","46"
"2162502","233882"
"2164425","100"
"2172660","617283"
"2173663","373"
"2175714","2883968"
"2175825","154"
"2176440","93783"
"2177568","1589201"
"2177826","222"
"2182936","2763305"
"2187200","4010025"
"2191872","1767777"
"2193181","124"
"2193362","1622654"
"2195252","3661735"
"2195747","2141761"
"2199413","1079222"
"2203588","161"
"2205366","448527"
"2206607","305"
"2209894","23"
"2210591","762329"
"2212060","968"
"2214244","650394"
"2219592","140"
"2221191","1959534"
"2221787","2003"
"2225047","578095"
"2226831","2355368"
"2227097","134772"
"2229337","63"
"2229827","3458946"
"2231249","587"
"2235698","9772"
"2236363","85"
"2237857","636683"
"2238128","3626100"
"2241013","5303104"
"2244608","31230"
"2248858","321"
"2254673","197950"
"2255721","984"
"2258257","4171"
"2258808","48"
"2262724","541"
"2262852","1743562"
"2264193","4845715"
"2264669","1111124"
"2264833","12"
"2270881","1129"
"2277100","47"
"2280375","794102"
"2280916","889797"
"2282123","647499"
"2282924","2062926"
"2284317","50685"
"2285793","2096094"
"2285976","31"
"2287767","7"
"2287903","14"
"2287936","33"
"2288074","3"
"2289225","27"
"2291176","2243332"
"2304712","92"
"2304864","159652"
"2305353","1024272"
"2305435","977165"
"2306984","176865"
"2308063","25"
"2310203","3028343"
"2311477","32"
"2311492","3530772"
"2312051","2357275"
"2313573","941950"
"2314405","2"
"2315036","818"
"2317051","328"
"2319956","1383410"
"2323471","291"
"2325345","11"
"2328265","698616"
"2328819","946"
"2329204","1169782"
"2330172","572"
"2330431","809046"
"2330611","15"
"2333196","36"
"2335155","2164469"
"2335502","10"
"2335705","444"
"2336423","1202538"
"2336633","68"
"2336678","4635497"
"2337242","31"
"2337988","855066"
"2338641","5085150"
"2339106","6"
"2339735","4648690"
"2341486","118"
"2345570","361760"
"2345773","3102534"
"2345984","114556"
"2346650","24860"
"2351315","2770754"
"2351791","1392412"
"2353666","1155983"
"2354792","575884"
"2355979","82"
"2356546","11"
"2357750","215"
"2358244","2695303"
"2359272","48"
"2360325","1213376"
"2363105","1025281"
"2364099","2380"
"2366636","263441"
"2368009","405720"
"2368356","75"
"2370163","849440"
"2371886","45"
"2374331","564063"
"2374687","4098150"
"2376962","5594"
"2377881","4569672"
"2378513","12"
"2382695","4"
"2388256","1632853"
