id,activity_time
"8021","4538062"
"29061","3718875"
"33412","5402391"
"33829","3696930"
"39135","1828501"
"43199","2507660"
"57384","2817511"
"70170","5300981"
"72304","5084384"
"78869","3302643"
"84096","1974951"
"84680","5058655"
"96945","4818"
"97137","5430155"
"102425","3634377"
"102778","100"
"112396","6087782"
"116415","3218063"
"123902","2543245"
"126798","3567868"
"137212","5792219"
"140113","8822"
"143523","331"
"150167","3955594"
"153220","4604898"
"161160","1905229"
"163113","898"
"178479","6028938"
"181341","2184469"
"182133","78"
"183830","2979439"
"190376","2824749"
"190912","3634375"
"221149","1239344"
"232584","450"
"232839","2218209"
"233217","5898939"
"244283","294084"
"248562","4075519"
"256899","867"
"267738","1459337"
"271090","2706517"
"271518","6498"
"288289","119488"
"288500","213008"
"295163","1400"
"295436","1888072"
"300334","4993114"
"303028","1309"
"304268","5591101"
"308609","171484"
"309202","295180"
"311243","1738"
"318781","31586"
"319634","22739"
"320355","23710"
"320477","15930"
"325637","508278"
"338578","3922105"
"339004","2963290"
"339531","3436223"
"340820","624"
"346225","3454"
"347056","1540172"
"353010","482"
"361231","2798591"
"363329","12"
"367530","1434589"
"368792","36780"
"372268","3164805"
"373518","3558496"
"376551","5122961"
"376561","3906337"
"377901","1639874"
"385907","196329"
"390150","5073512"
"407990","185"
"411037","1386"
"411331","4722938"
"415953","5965097"
"427046","226"
"427821","1506730"
"430755","5472866"
"437375","15537"
"438508","148"
"440463","5784357"
"443151","562007"
"453925","2194184"
"472739","2161465"
"473566","969603"
"476640","1210"
"480895","2209687"
"485023","5116952"
"494860","33967"
"496651","5941069"
"510846","1498"
"517527","3264089"
"520255","1467887"
"530972","1582"
"531096","1609757"
"537596","2320946"
"543896","4775327"
"545082","3506661"
"545667","5481106"
"547219","3487222"
"552982","44942"
"556670","4606765"
"561938","1525421"
"565531","55642"
"567482","1703319"
"568227","387661"
"570450","1206237"
"571081","5862142"
"580686","2558034"
"581655","1305"
"587357","5572315"
"592403","2710757"
"610896","482"
"612121","122"
"622732","1191808"
"626043","4780145"
"628416","4240816"
"636172","42647"
"637496","7072"
"646224","81"
"663397","20"
"683885","761124"
"684081","5803594"
