id,activity_time
"7260","4539103"
"8451","5040780"
"10635","5838135"
"11762","4851318"
"17670","4674858"
"18448","351485"
"21965","3124717"
"29346","2080000"
"42115","5271025"
"47262","568872"
"49211","672881"
"50684","1845657"
"53824","7221"
"54991","6157349"
"59893","5971392"
"64469","2767123"
"71077","1995994"
"71146","1319466"
"74443","3230092"
"83553","5042956"
"86458","5342600"
"94809","3460566"
"98074","154660"
"100919","1691106"
"102382","3461146"
"103177","96634"
"108518","6217057"
"118599","173745"
"120116","127"
"121493","25"
"124674","240686"
"124885","150225"
"129544","1097"
"129629","15"
"136219","32"
"141399","3445161"
"144605","4805126"
"146973","5758120"
"148879","4960914"
"150737","6122645"
"152419","149963"
"154430","2832664"
"155400","1674659"
"158800","1421197"
"160373","813"
"162031","63"
"165808","5921765"
"166617","4010128"
"167252","27"
"169222","4771041"
"170689","4293964"
"172951","1346"
"177363","6106521"
"178578","3864887"
"179425","103936"
"181581","618026"
"188134","4"
"192134","5543334"
"196177","9650"
"197388","3098993"
"198071","1170723"
"198625","759"
"201153","171209"
"202011","6151612"
"206438","4543803"
"206793","370933"
"209242","2178772"
"211169","5188606"
"211941","556651"
"212510","4460607"
"212763","2084206"
"213568","113149"
"229596","5255633"
"234234","70129"
"234872","3751241"
"239463","2598920"
"239979","5418325"
"240224","1198755"
"243646","5959120"
"243995","90354"
"244019","98379"
"244152","209"
"246822","4634270"
"249540","4039103"
"249567","118165"
"252882","4773539"
"252974","3139"
"254980","2046335"
"255171","128590"
"258889","233"
"261785","240686"
"261873","2768084"
"262756","1334812"
"264889","1066"
"269101","76984"
"270010","12"
"270625","11231"
"272112","110"
"273452","4401922"
"280923","2026352"
"281068","19"
"281843","1045730"
"283726","1567616"
"284500","5944069"
"288732","3080345"
"289601","145230"
"290548","5930698"
"291744","172"
"295538","5302137"
"297498","5346379"
"298363","5049887"
"299793","3193598"
"300582","414059"
"301024","3900443"
"308756","3192515"
"311677","2395480"
"312621","14"
"317652","68"
"318039","2729"
"319508","2105920"
"321128","4216120"
"326818","3465424"
"327654","1536701"
"331468","234635"
"332477","140872"
"341956","300267"
"343488","3204489"
"344774","683176"
"354068","26850"
"359342","2591029"
"360259","3041683"
"360838","52"
"379276","2254937"
"379319","2572878"
"379445","856844"
"379941","517"
"380336","2302613"
"382353","2054229"
"382383","47"
"384725","7"
"386982","5626879"
"390853","33863"
"393118","254"
"396324","324752"
"399155","2797275"
"416771","2239089"
"424517","3385055"
"425688","5683912"
"428478","10"
"430386","3295236"
"430599","3426903"
"431013","4380094"
"432570","513"
"432753","23"
"434404","19"
"436760","3291287"
"437864","28"
"438142","251710"
"438704","76349"
"439253","205"
"440200","38"
"442658","4779341"
"443411","224"
"444248","2105187"
"446981","1651204"
"447785","2771548"
