id,activity_time
"8318","5244071"
"14617","4800616"
"16451","2755224"
"17376","5791001"
"24723","6125974"
"29357","4318152"
"33745","5463956"
"34638","3288590"
"37343","5459616"
"39564","3465943"
"39916","4872806"
"49226","3308253"
"49473","3307963"
"65494","4097434"
"76324","40379"
"77686","5049995"
"84641","114"
"90517","4175097"
"102788","3156825"
"103203","1757615"
"108838","418534"
"119926","1965128"
"120380","583554"
"127459","4701898"
"127739","4885654"
"132384","2452003"
"159282","3654419"
"166411","3919643"
"168610","5680927"
"171519","5176203"
"174131","552"
"185211","902"
"186125","361"
"196845","2247874"
"205183","4135332"
"211099","748"
"217511","4487304"
"219944","3296877"
"219999","188792"
"242669","476455"
"257015","82056"
"276310","113415"
"277044","2425712"
"277100","135"
"290545","5314"
"295515","359165"
"295628","4877168"
"297952","789694"
"302357","4038132"
"308659","5561979"
"309615","3284715"
"313730","4418663"
"315132","2351110"
"318214","18"
"321061","5019198"
"321787","5045565"
"323939","1490159"
"324726","3566915"
"333812","6049508"
"347856","2684317"
"348090","1152"
"350177","5816865"
"353815","111"
"359620","37022"
"360520","5465833"
"362386","164"
"388749","1820616"
"395375","9112"
"398179","157396"
"398537","1943222"
"401985","3386705"
"404027","935377"
"407687","5752765"
"429352","333462"
"435912","557188"
"442862","4607924"
"442995","4067752"
"461886","2014881"
"475833","277086"
"477144","3594653"
"479535","3099405"
"491109","11289"
"493646","404506"
"495392","4193859"
"506939","2910707"
"521101","4374508"
"521418","2745695"
"522723","5112740"
"525408","1089"
"528938","2666476"
"529997","2633106"
"539816","2067262"
"540738","201"
"546242","2724673"
"546438","3314289"
"546447","96"
"552108","524"
"556110","15"
"557746","5087272"
"561024","6029439"
"573121","3110632"
"573307","2451791"
"578679","156930"
"579224","13"
"594049","2615419"
"605589","319511"
"607560","2003224"
"617471","1420589"
"633890","5010983"
"635088","1334778"
"635171","105"
"639680","3264026"
"645609","2832410"
"646195","5493931"
"656373","32595"
"656787","497"
"658826","3284493"
"659950","3502936"
"663890","2799090"
"663910","1981709"
"668958","1439638"
"673355","11218"
"674510","5249"
"685855","2432311"
"685937","686342"
"686481","2"
"699254","2604464"
"700529","139797"
"713344","4398"
"715969","200077"
"717854","5173090"
"727812","907985"
"728047","2065572"
"728324","5385849"
"728531","2200868"
"733435","14"
"734887","8815"
"738071","32506"
"738188","657707"
"752332","2683464"
"760358","15"
"761588","3808235"
"766675","3688"
"770635","666310"
"772011","1348193"
"773912","47"
"779973","24444"
"788834","7"
"788844","4046785"
"789759","17843"
"791677","2813333"
"800904","405115"
"800922","5223345"
"801458","1887273"
"805686","2527511"
