Topic ID,Category,Sub-Category,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04
TOPIC 8,Cryptography,Encryption,0,0,0,0,0,0,0,0.08563830703496933,0,0.04107380658388138,0,0,0,0,0.040615539997816086,0.05892295949161053,0.0804718129336834,0,0.05444725975394249,0.063963370770216,0.07553118254457201,0.06503087896853685,0.06604984974754709,0.0518974494189024,0.062368785962462425,0.08622496202588081,0.07808587094768882,0.09967850308333125,0.06938319156567256,0.08129451796412468,0.06822742415325982,0.08184528111347131,0.0656881613863839,0.08811054689188798,0.07559215494741996,0.07887025239566962,0.07605503425002098,0.08056967705488205,0.06980485638434236,0.09948283806443214,0.08170104995369912,0.04301925860345364,0.061669457238167524,0.07979108393192291,0.08079197704792022,0.08352147802137412,0.07492082880344242,0.08366685034707189,0.07442979079981644,0.08572597470548418,0.12656657428791127,0.07631248506632718,0.08612255850120594,0.11211196643610795,0.11018962081935671,0.0780169762050112,0.08419996421588094,0.08759939298033714,0.04939224457611208,0.07093340599615323,0.1616786296168963,0.08360432197942454,0.07502799602630346,0.06998281925916672,0.08062554971547797,0.08516260806251974,0.06997927262083344,0.07337269149720668,0.08261451105538167,0.05610218814209751,0.07159369182772934,0.06377801616840503,0.07642813523610432,0.07480843413783156,0.1014923929776016,0.07156697211080584,0.08916515387594699,0.0857270260155201,0.0807635969083224,0.07881235130704366,0.07439797254545348,0.08449921577141203,0.08686361454713803,0.09668390736693427,0.07055338739883155,0.060832776461860964,0.07390578798949718,0.0831625997275114,0.0736681657532851,0.07524284855885939,0.08209005342080043,0.062350223162050904,0.07092728384304792,0.07976771990901657,0.06587584424190797,0.07570528522133828,0.06339267569665726,0.06423069024458528,0.0580603942895929,0.06311150561822088,0.07867560869660871,0.07162818346511234,0.06139525925290996,0.06940281674265862,0.07118737921118737,0.06363569021872852,0.07273258251093682,0.09052946232259274,0.06168379572530588,0.06963386594184807,0.07625689737212199,0.06736827767095886,0.06064103592049192,0.05891703083538092,0.05226367663003897,0.05521159775314793,0.058533944633035434,0.05707299429923296,0.058455242903061935,0.05873965556648644,0.058953384614803574,0.06195139809278771,0.058251421836515264,0.06539099616929889,0.05108960415236652,0.0774693712592125,0.07167297795725365,0.06949131041765214,0.05200017087401882,0.06097525394020172,0.0656614925712347,0.059229903337028295,0.05297455796971917,0.069554085098207,0.054366217604998886,0.05568402719994386
TOPIC 9,Data Security,Digital Signature,0,0,0,0,0,0,0,0.09367240592837334,0,0.2666895389556885,0,0,0,0,0.07409961521625519,0.06440836563706398,0.05123620145022869,0,0.05326320230960846,0.04734345078468323,0.05214935168623924,0.05174140706658363,0.06299658518816743,0.059799522161483765,0.07835750095546246,0.05487376930458205,0.07859748182818294,0.06676020845770836,0.06925951099644105,0.06683475441402859,0.05724354726927621,0.07296707374708992,0.08392145939999157,0.10272147164990504,0.09390629641711712,0.06707578959564368,0.06989943832159043,0.0625492606989362,0.10189601000059735,0.06549260392785072,0.08308766223490238,0.12135981172323226,0.1657133735716343,0.07533834102962698,0.0675784507766366,0.08477674668224958,0.09411458042450249,0.06717872200533748,0.06648532756500775,0.05990010665522681,0.05384184326976538,0.08084466274489056,0.0757449047738,0.09514571130275726,0.07093501877453592,0.07934770298500855,0.07377529046253155,0.08069882984273136,0.052948691463772804,0.08480539457186272,0.06048630511698624,0.08384121822960236,0.05822858837959559,0.08096445898991078,0.11795146216172725,0.06587174052701276,0.08108312183100244,0.06146107092499733,0.06920611623086427,0.08453400060534477,0.06673000031150877,0.1308686746393933,0.07166907489299774,0.06555995620463205,0.07412397273276981,0.08319580529270501,0.09733852557837963,0.08500826418399811,0.08731992715703589,0.07392179342703177,0.09985915677888053,0.09183478419636858,0.08979236950668004,0.06964589194172904,0.09073961334070191,0.10200552176684141,0.09469437040388584,0.10436782889068126,0.06866579171684054,0.10509451106190681,0.09174590299908932,0.0803650327926052,0.08995393700897694,0.10832623864657112,0.07579849610248438,0.09190769284963608,0.09438084646199758,0.06630585889797658,0.09407101737128364,0.0879705163012994,0.07228969962432466,0.07115135612812909,0.07229387387633324,0.06323368296027183,0.09904914572834969,0.08797226125455421,0.07321309919158618,0.06981638472527266,0.08243946931152432,0.06943943239748478,0.07940952178950493,0.09758309568636693,0.09364984626019443,0.07574206275435594,0.07060734172792811,0.07991565103011747,0.056937355149005144,0.06723241308437926,0.06792420462795323,0.10268172903945952,0.06131814572621475,0.09825004247250035,0.06170976652453343,0.1025613233447075,0.0622905355412513,0.07786963656544685,0.061130532529205084,0.057158680198093254,0.0854504067871359,0.08061302274179,0.06864138642946879,0.08303635629514854,0.06798439677804709,0.10925760101526975,0.08704526259981353,0.0879594562575221
TOPIC 10,Data Security,Password/Data Storage,0,0,0,0,0,0,0,0.0996860284358263,0,0.04366396367549896,0,0,0,0,0.08140663802623749,0.10630735754966736,0.14581611678004264,0,0.05159125477075577,0.05319268703460693,0.059327567262308936,0.05167262144386768,0.05385172220745257,0.05397637840360403,0.06461743637919426,0.06811620348266192,0.06842684838920832,0.05460426477449281,0.04705806697408358,0.05131235366894139,0.06707304450018066,0.06847898209733623,0.0643785765601529,0.07723007661600907,0.06444294719646375,0.07070480038722356,0.06702451333403588,0.098126658661799,0.06251881948926231,0.05555819533765316,0.0731680553406477,0.05680309440940619,0.06389646278694272,0.05797010261033263,0.06502949371933937,0.09907503246974486,0.06601883273106068,0.06752939661964774,0.06627178978588846,0.06384128456314404,0.08812914602458477,0.09381022744558075,0.06665507115815815,0.08923309122522673,0.07518647673229377,0.07281585844854514,0.07809303583283174,0.0684389341622591,0.056589506876965366,0.065587479523138,0.04861291470782211,0.06685620173811913,0.08671914543146672,0.054461382096633315,0.06378840724937618,0.06520034613854744,0.06848309294361135,0.06778335854411126,0.10079645934073549,0.054707876042179436,0.0716026562731713,0.05898174818824319,0.07616106048226357,0.08609466627240181,0.06062464170942181,0.07078857636400337,0.06627783559262752,0.0684529858827591,0.0866035023438079,0.08559703031698099,0.07705914942281587,0.07976624498079563,0.06834608545670143,0.07402521416190125,0.06666304194368422,0.06636354107675808,0.06942609896262487,0.0753606929257512,0.05642017342702106,0.08644391802337134,0.07579241456607214,0.07305643951584553,0.0707913416903466,0.06821479036339692,0.06726495081033462,0.07995578482747077,0.0796953709796071,0.08876455668359995,0.06784879602491856,0.06740575930789898,0.07178498631150558,0.06197051839395003,0.0702563323208998,0.08434226892888547,0.06715938234701753,0.06545081904724888,0.08544151653491315,0.06660402789711953,0.07898620859271398,0.0723825399364744,0.06571178503621083,0.10658152505325583,0.07956301876240307,0.07919081497507599,0.0647686818908704,0.058131030310065515,0.06153024396016484,0.08575006607653839,0.06929155359525353,0.07142872196819747,0.0819165487632607,0.10162216081516817,0.06688689918567738,0.05274311117827892,0.06622748930628101,0.08709486623605092,0.059956291768079005,0.05208057252069314,0.07710822260067347,0.07475667539983988,0.06013207441816727,0.06661855501847135,0.0740620399825275,0.06712057478725911,0.06630493520662703,0.07378155371795098
TOPIC 11,Network Security,Digital Certificates,0,0,0,0,0,0,0,0.05899694561958313,0,0.05675072968006134,0,0,0,0,0.04385911673307419,0.06772424653172493,0.057393203303217885,0,0.057188283652067184,0.057340821623802184,0.05365140310355595,0.05806432329118252,0.09878190287521907,0.09267351496964693,0.1076714089140296,0.08014114892908505,0.11753348680213094,0.06741542422345706,0.12600876266757646,0.09717488123310937,0.08552952855825424,0.06825046720249313,0.06601478449172443,0.07209396952142318,0.07546180300414562,0.06269736091295879,0.08126573860645295,0.08323165875944225,0.08767530034211549,0.06553400680422783,0.08252862580120564,0.0658018559217453,0.07356137479655445,0.07661513265754495,0.12182292826473713,0.08812777640727851,0.10778131172992289,0.12046624859794974,0.1351224092973603,0.1078721500105328,0.12641872465610504,0.053866728632287544,0.11084548599625889,0.10458024814724923,0.09637239306337303,0.11032892266909282,0.07678973243424767,0.09923328761942685,0.05337144649061172,0.08462894982413242,0.08510078800221284,0.08359143422806964,0.10315289056819418,0.09145446680486202,0.06509760086191818,0.08971935170976554,0.07689600858999335,0.06281402751803399,0.1091331945438134,0.11994790350613387,0.08498096640687436,0.08143003712243893,0.07881339738766352,0.08719539350789526,0.0835641904881126,0.10152480404438644,0.1014180527627468,0.06770070761442185,0.06380385612802845,0.12029730027111676,0.09420742254172053,0.09291645039900623,0.0976537878696735,0.07739190970148359,0.09123082592850551,0.07324822466554386,0.07211742556343476,0.07388638302683831,0.07129368548178011,0.07756096545155301,0.0635119006754114,0.07875070113945624,0.0698087160475552,0.07082369278318115,0.07469492902358373,0.06861753404140472,0.07490795664489269,0.050589228980243206,0.07051621253291766,0.10653942401864026,0.07362430735394873,0.07442940360951153,0.08142948747965796,0.094825896397233,0.11948181390762329,0.06267299041475939,0.07277622765728406,0.08389561902731657,0.09169704270445639,0.05695971697568893,0.05662285615331852,0.06315795661738285,0.07067320061226685,0.05893313082364889,0.0732666665786191,0.06711393826070332,0.06531614987623124,0.07987053991694536,0.06244001307735039,0.0897356980677807,0.07237211603558424,0.05720116646261886,0.08766425723830859,0.0855715787038207,0.06892885438476999,0.09150343413154284,0.04905848822090775,0.06642712950706482,0.05608718007081939,0.06343191675841808,0.0676140781181554,0.057364489469263286,0.06513492530211806,0.07248748345300556,0.062201125033456706,0.06510688681155444
TOPIC 12,Secure Development,Implementation,0,0,0,0,0,0,0,0.06874551437795162,0,0.058031853288412094,0,0,0,0,0.06184411235153675,0.06901412457227707,0.06219707131385803,0,0.06752652674913406,0.06659619882702827,0.06088009263787951,0.056718531623482706,0.0609237900269883,0.0908832959830761,0.11591052915900946,0.05741694409932409,0.053526571951806545,0.0657980889081955,0.053125598623106875,0.06889770097202724,0.07820482179522514,0.07390694878995419,0.07565762143996027,0.05213199152300755,0.06993404465417068,0.06753109147151311,0.0717676949997743,0.0883407701145519,0.08568748831748962,0.08787642202029626,0.07116308957338333,0.06598178297281265,0.062196934362873435,0.07329520077577659,0.06703018136322499,0.07634980575396465,0.06838397192768753,0.07608571369200945,0.057683843187987804,0.08838968558443917,0.05935406917706132,0.0690968930721283,0.07177966911541789,0.07041345809896787,0.07083391439583567,0.06119444314390421,0.08021155038946554,0.06524337746668607,0.056436492076170616,0.053942404099200904,0.05762545042671263,0.062329312348190474,0.078863725633077,0.06326755706686527,0.057042837666813284,0.06310178843491218,0.06931529210313507,0.06764997854828834,0.08056432685177577,0.0997720456317715,0.07986765424720943,0.06008499871720286,0.08188358843326568,0.0836046151816845,0.07097264173391618,0.08800846441038723,0.07320498868823051,0.06976600185036659,0.08119165990501642,0.06858065609748547,0.07075788064726761,0.07276993521071713,0.06778609036253049,0.08301705654178347,0.067871366860345,0.06423847736524683,0.06502238263686498,0.05911913894116878,0.06840072151411462,0.059652171351692894,0.06273438688367605,0.0710162054747343,0.05530979069881141,0.06967403706429261,0.06129183873343162,0.06271119505167007,0.062263902133473985,0.05732562637422234,0.06350524050907956,0.06245658321208075,0.06358121303391867,0.0760176092047583,0.05840346133657571,0.06557790376245975,0.06370007693767547,0.06125395890811215,0.06048286954561869,0.06180581845343113,0.06163000620694624,0.0701108881937606,0.07233738168500937,0.053665074663093455,0.07218651570103786,0.06365683631828198,0.06475062197760532,0.05439023445210149,0.06190596108457872,0.06821417865077299,0.06697068358546183,0.06237053938887336,0.06048442462854313,0.0762214157730341,0.07343859678755203,0.08916107323020697,0.07015062232191364,0.07623064517974854,0.06337696538927655,0.07735575499633948,0.1085744628742818,0.0804537391433349,0.07596386360625426,0.0824781468965941,0.08291182722896337,0.06626938469707966,0.08519309001236126,0.0820317010084788
TOPIC 13,Network Security,Client/Server,0,0,0,0,0,0,0,0.052047599107027054,0,0.050225239247083664,0,0,0,0,0.05976384878158569,0.06952248141169548,0.05852500945329666,0,0.05427703633904457,0.056897489726543425,0.046162331476807594,0.053104670718312263,0.057679675452943356,0.04489882942289114,0.055818138644099236,0.05162157437631062,0.05249242973513901,0.05351708510092327,0.04781436019887527,0.05741217794517676,0.07467311088527952,0.07076907530426979,0.05281368850005998,0.05800673458725214,0.05720394632468621,0.0533798827479283,0.06062526603539785,0.05830004658888687,0.05679161745038899,0.07454622723162174,0.05242715831845999,0.05570517927408218,0.05330085242167115,0.0532251326367259,0.06859324611723423,0.051097132408848174,0.056431121891364455,0.05581036675721407,0.06342955347564486,0.05612380140357547,0.06060473838200172,0.053997714749791405,0.06381255760788918,0.058236158639192584,0.05920696848382553,0.057403507021566234,0.07110315404440228,0.06477548344992101,0.046696128202197346,0.05919508459536653,0.050874399952590466,0.057723551988601685,0.04955685187293136,0.05750578182050958,0.05289447645191103,0.06426962903317283,0.06181731220820676,0.04874314792454243,0.04379012935647839,0.04453537823713344,0.05619677156209946,0.0602416608701734,0.060386819392442705,0.05521554629439893,0.06011604576518661,0.05144542902065762,0.05389324627816677,0.05592687323689461,0.06717155035585165,0.057662877039267466,0.05502866575760501,0.06149412338332883,0.06052004331006454,0.05277294142260438,0.058658300375100225,0.0536454531497189,0.05508881577601035,0.06592075135558843,0.05962965968582365,0.06247797058048574,0.05665512683872993,0.05916407929155333,0.0636482346104458,0.05511202310611095,0.05555267101870133,0.06536412209272385,0.060478947340295866,0.052745578228496015,0.05673302927364906,0.05543134087010434,0.06416014524112487,0.06729493848979473,0.06424228211158309,0.05537511929869652,0.056802188605070116,0.06461741904849591,0.059115744417621977,0.05793188363313675,0.057770670702060066,0.06668519446892397,0.06566079709535608,0.07205286102655989,0.04957871801323361,0.058719754577256165,0.06016924663593894,0.0535739948672633,0.05589664731884286,0.0675147891576801,0.09715991851783568,0.05767117841451457,0.055006037494449905,0.050798092037439346,0.05779584397872289,0.060306310374289754,0.04924015351571143,0.05940971821546555,0.05324246998255452,0.05287949883689483,0.054400922039583806,0.05039003727814326,0.07679938245564699,0.08678618849565585,0.053866919782012704,0.05835227807983756,0.05744694427041144,0.0603968362013499
