Topic ID,Category,Sub-Category,Frequency,Norm Frequency,Share,Norm Share
0,Secure Development,Implementation,1567,0.38107976653696496,1555.3329112025676,0.37824243949478786
1,Secure Development,Testing,1279,0.3110408560311284,1213.0642722448101,0.29500590278327093
2,Secure Development,Implementation,1266,0.30787937743190663,1343.6028128240723,0.3267516568151927
