id,view_count
"438","10844"
"3385","175649"
"13254","7074"
"17817","8450"
"20510","3069"
"29680","3795"
"32333","990"
"33104","1976"
"34490","87127"
"38838","15244"
"39983","666"
"45097","4522"
"49158","26042"
"51283","47619"
"52344","2758"
"52646","3518"
"53511","488"
"61760","722"
"66870","20555"
"72242","11677"
"75980","474415"
"76408","6063"
"81410","16293"
"86477","100095"
"86513","257085"
"88311","423339"
"93911","12544"
"95213","118363"
"102496","6905"
"114148","328"
"116682","621"
"117141","1773"
"117352","1043"
"119818","251"
"120189","3372"
"121490","309"
"128028","4881"
"133546","3999"
"141427","975"
"142573","1752"
"153039","9474"
"155751","198"
"162159","130470"
"169334","1945"
"176255","564"
"179355","432092"
"184028","965"
"185149","600"
"186932","946"
"195509","2143"
"196776","4994"
"198974","30519"
"205468","1973"
"215302","3030"
"223097","1751"
"226637","602"
"234590","725"
"235759","10554"
"240362","1000"
"245600","20196"
"247110","20020"
"250932","2825"
"252665","173865"
"253724","968"
"268320","6914"
"271031","3912"
"272342","7183"
"278122","27941"
"278651","990"
"283774","16720"
"286824","7891"
"288287","809"
"291665","2855"
"292362","1899"
"295566","85180"
"301855","353"
"302914","120284"
"308501","11077"
"316390","18397"
"319113","4706"
"332872","1531464"
"333532","30141"
"334259","5318"
"334519","35166"
"335019","2649"
"338563","1371"
"339732","104"
"342409","293821"
"343111","2039"
"350299","6431"
"351627","1821"
"355043","56955"
"366647","663"
"367079","1427"
"372980","11805"
"378848","839"
"381042","924"
"386656","1053"
"387104","8480"
"394673","4787"
"395045","39180"
"395592","68594"
"399572","1286"
"406415","1383"
"421458","1278"
"426463","6867"
"429005","8708"
"433558","795"
"435408","210"
"438886","4185"
"443430","33633"
"447537","51038"
"452415","9610"
"454813","2914"
"457239","7061"
"467885","208"
"467897","9119"
"468089","558"
"470531","371"
"472552","513"
"475840","177"
"476576","1164"
"476821","2467"
"477053","1448"
"479499","397"
"482213","1150"
"483018","792"
"484261","1055"
"491914","89362"
"496152","578"
"503469","1427"
"505235","950"
"507591","440"
"512825","8993"
"514688","11079"
"516127","1899"
"521639","26994"
"522064","30849"
"525734","4674"
"526391","110"
"526576","15809"
"527973","5199"
"530426","6103"
"534051","811"
"539488","2733"
"540496","3408"
"553485","319"
"554546","740"
"556194","41011"
"559600","5059"
"561039","9761"
"562250","133"
"572107","1577"
"579661","245"
"581730","643"
"591794","1526"
"593419","8694"
"593593","36059"
"594443","398"
"595228","191877"
"597028","75613"
"604924","589"
"608453","5143"
"610048","32681"
"615144","2131"
"615954","1661"
"625768","7241"
"631661","4416"
"631671","154"
"633445","598"
"637311","3118"
"641713","2167"
"646086","9462"
"647696","3297"
"651466","1526"
"651590","1028"
"651713","1429"
"651819","1625"
"655174","463"
"671042","15267"
"675380","4236"
"675392","5506"
"681530","1146"
"682260","304319"
"686455","2362"
"688196","361282"
"688686","5347"
"690730","3973"
"691223","364"
"691276","2248"
"699185","7431"
"701084","8463"
"701580","3424"
"713600","142"
"718611","23891"
"721446","10614"
"723886","3352"
"724950","639"
"728706","531"
"732223","848"
"733463","1382"
"734561","8986"
"739850","2570"
"742089","14656"
"743939","48032"
"746347","23900"
"747641","122117"
"753759","5107"
"754633","2606"
"754761","96659"
"755994","2013"
"756492","57074"
"756800","1518"
"762520","950"
"764565","706"
"764833","2563"
"768268","128305"
"770195","545"
"770830","3601"
"774627","1976"
"778476","999"
"779959","12846"
"787894","3318"
"791694","728"
"793812","184358"
"798785","26309"
"799932","9979"
"801506","2338"
"805887","384"
"807943","2051"
"808748","5405"
"808816","39116"
"810043","4556"
"811195","22789"
"812483","2527"
"821375","1348"
"824040","5872"
"827016","1030"
"832958","9014"
"834988","1359"
"839983","1897"
"841984","6443"
"844719","1972"
"846797","9728"
"856047","3876"
"858773","2910"
"859306","1810"
"859893","910"
"860246","343"
"863323","2076"
"870019","26850"
"874634","21334"
"876557","4783"
"877727","13881"
"877916","3353"
"884209","662"
"885909","22942"
"897157","609"
"898683","9434"
"900115","455"
"904346","1819"
"904442","1103"
"906900","10119"
"908283","733"
"921486","7550"
"923948","1327"
"926137","24427"
"932423","446"
"933199","531"
"934213","2451"
"941594","190349"
"942518","1132"
"945015","44976"
"945981","2427"
"946170","25157"
"948172","101130"
"948192","2168"
"948507","231"
"953118","1813"
"957884","1894"
"963403","13441"
"977686","514"
"983977","375"
"984680","1667"
"985074","2536"
"986866","3675"
"991542","1773"
"992944","435"
"999010","12501"
"1000351","248"
"1006674","3102"
"1007337","42147"
"1013720","232"
"1019707","6523"
"1020368","186357"
"1021798","125"
"1022112","35961"
"1024730","1635"
"1029293","1521"
"1040724","4635"
"1042692","847"
"1043996","740"
"1046722","3533"
"1047391","3272"
"1053556","2908"
"1057871","293"
"1058338","220"
"1062254","291"
"1063876","1946"
"1068271","15502"
"1070835","490"
"1071837","316"
"1072540","13267"
"1081025","230"
"1081449","271"
"1083546","3058"
"1084410","582"
"1085236","911"
"1085756","94824"
"1086801","11249"
"1088000","3347"
"1091665","390"
"1097427","426"
"1097923","1397"
"1099547","1607"
"1099697","1366"
"1103200","827"
"1104565","3464"
"1105434","27415"
"1110758","4262"
"1113902","15986"
"1125772","5561"
"1127690","94"
"1130296","6698"
"1135398","696"
"1139489","5414"
"1139632","5631"
"1143417","2326"
"1145164","331"
"1149191","17610"
"1149611","15123"
"1150111","1505"
"1154281","1001"
"1157775","1161"
"1161157","14889"
"1161378","7468"
"1162521","2227"
"1163985","9702"
"1164118","64"
"1168552","733"
"1168983","1100"
"1171207","5898"
"1172045","613"
"1180076","3301"
"1180512","574"
"1180716","4730"
"1192716","638"
"1196418","14403"
"1197191","1035"
"1200091","1994"
"1202910","3756"
"1206390","5674"
"1214595","1627"
"1214974","1097"
"1215556","705"
"1215709","916"
"1216213","1205"
"1216640","4440"
"1216903","2979"
"1217170","241"
"1217926","6268"
"1221371","43565"
"1222249","4853"
"1223586","1744"
"1224694","339"
"1225794","7267"
"1231477","874"
"1238628","9379"
"1241181","358"
"1241570","2295"
"1244182","9077"
"1244932","2658"
"1249413","1490"
"1253396","640"
"1265654","7165"
"1266605","8907"
"1267873","2011"
"1275888","2378"
"1275948","19819"
"1276238","5705"
"1276647","6197"
"1279418","291"
"1281795","13415"
"1282949","768"
"1283909","5118"
"1287180","5619"
"1287620","1325"
"1290423","819"
"1291363","738"
"1292792","1063"
"1292841","896"
"1296597","574"
"1297025","240"
"1300317","440"
"1301117","227"
"1303746","16882"
"1306823","5291"
"1308057","360"
"1314611","2129"
"1317598","627"
"1321969","30461"
"1323925","3521"
"1325378","11676"
"1327048","315"
"1328361","258"
"1333648","20575"
"1341622","1416"
"1344188","1463"
"1347099","4662"
"1349397","7136"
"1350748","4524"
"1352169","532"
"1359624","5866"
"1362256","2114"
"1368164","4732"
"1371333","151"
"1375393","548"
"1376746","1944"
"1380144","430"
"1381010","1248"
"1382788","1120"
"1383142","29760"
"1386978","1560"
"1387005","2423"
"1388609","45325"
"1403646","9910"
"1415205","151250"
"1415218","231"
"1418846","2479"
"1420499","274"
"1426984","907"
"1427649","1453"
"1432592","1328"
"1435315","322"
"1447499","3930"
"1453551","13370"
"1455037","26890"
"1457733","841"
"1457793","1471"
"1460915","4529"
"1462462","3279"
"1463182","166"
"1463867","27777"
"1466122","7363"
"1469084","5751"
"1475128","2109"
"1482803","781"
"1484671","585"
"1485020","163"
"1492560","751"
"1495371","411"
"1497481","90765"
"1500959","193"
"1503122","501"
"1508825","736"
"1510442","3641"
"1511283","1924"
"1513871","14472"
"1516715","2507"
"1519735","138"
"1520973","3158"
"1526233","3181"
"1528012","10399"
"1530083","138"
"1532137","88"
"1532193","34615"
"1534166","736"
"1534489","1073"
"1537478","832"
"1547884","59823"
"1551070","854"
"1555149","5003"
"1557487","90"
"1560300","124"
"1562145","458"
"1565052","72"
"1571366","12898"
"1576040","13893"
"1580504","412"
"1582511","1622"
"1582738","176"
"1584807","263"
"1596723","1304"
"1597153","3380"
"1600888","222"
"1608703","238"
"1614811","8639"
"1617858","682"
"1619117","108"
"1622145","7828"
"1625816","2516"
"1626919","8523"
"1628185","6152"
"1628522","557"
"1628566","2933"
"1628799","14501"
"1630609","18529"
"1631134","3305"
"1631624","390"
"1631683","3362"
"1633173","518"
"1637275","82825"
"1638248","876"
"1640342","449"
"1640731","110"
"1641415","316"
"1645830","988"
"1646822","643"
"1649305","1717"
"1650854","704"
"1651118","3788"
"1652178","63795"
"1655626","84"
"1655769","362031"
"1659591","237"
"1660060","38329"
"1660405","1062"
"1666650","1188"
"1666869","204"
"1674625","1931"
"1675383","106"
"1676845","197"
"1677463","1759"
"1680022","1038"
"1683198","384"
"1690138","524"
"1691730","1065"
"1693861","3409"
"1695326","182"
"1700882","8716"
"1702415","713"
"1704107","637"
"1706433","848"
"1712503","387"
"1716735","3959"
"1717602","884"
"1717746","2337"
"1723721","7676"
"1725341","7031"
"1726617","31281"
"1732724","661"
"1733957","4090"
"1734213","5591"
"1734469","2672"
"1735374","9957"
"1736161","2216"
"1738715","1473"
"1741445","3403"
"1744282","260"
"1745452","5587"
"1750214","3805"
"1753726","9594"
"1753822","4413"
"1754004","3884"
"1755743","64"
"1757251","716"
"1760325","4298"
"1779823","1381"
"1780907","171"
"1781071","682"
"1786532","16157"
"1791288","877"
"1793993","556"
"1795114","5523"
"1795615","4326"
"1800995","939"
"1802066","4439"
"1802354","9140"
"1802708","2364"
"1804867","328"
"1807974","1089"
"1812773","43359"
"1826893","519"
"1837267","581"
"1838366","750"
"1845098","158"
"1845554","1305"
"1846081","1013"
"1851995","248"
"1854806","1584"
"1857039","8487"
"1860470","24206"
"1861630","270"
"1862391","689"
"1862710","9316"
"1864700","3078"
"1868320","1967"
"1877727","10017"
"1880445","5078"
"1897777","1606"
"1898659","1482"
"1901761","110"
"1902833","214"
"1908492","57695"
"1908909","1030"
"1914409","287"
"1917937","18003"
"1918728","653"
"1921043","107"
"1921832","5166"
"1927380","2528"
"1933926","872"
"1936633","388"
"1938430","2801"
"1939289","8487"
"1941499","18448"
"1942199","387"
"1944400","854"
"1945005","6748"
"1945248","4573"
"1945741","1504"
"1948535","4092"
"1954502","28382"
"1955343","378"
"1959448","4831"
"1960681","1976"
"1961438","244"
"1962299","105367"
"1963195","904"
"1964714","808"
"1967181","469"
"1980001","552"
"1980345","1769"
"1980772","1890"
"1983292","783"
"1985638","193"
"1985812","2035"
"1986708","442"
"1986953","787"
"1993833","11391"
"1997786","11521"
"1998341","6133"
"1999096","11311"
"1999234","2042"
"1999961","7433"
"2008173","6941"
"2014938","3024"
"2015984","450"
"2017094","2802"
"2018241","1376"
"2019730","104"
"2019790","127"
"2024294","5157"
"2024968","1014"
"2032814","598"
"2042243","528"
"2043557","6644"
"2044517","4942"
"2046786","1349"
"2055851","451"
"2057164","812"
"2057403","431"
"2060750","1002"
"2060982","360"
"2060984","39867"
"2068595","1862"
"2073564","6944"
"2075923","551"
"2082262","2465"
"2090872","137"
"2092143","184"
"2093666","1800"
