Id,ParentId,OwnerUserId
"329","328","59"
"669","657","117"
"681","328","200"
"1611","328","1384652"
"5679","5611","657"
"5820","5611","341"
"5835","5611","40"
"6344","5611","341"
"6585","328","796"
"7488","328","486"
"14938","328","1771"
"16875","16861","92"
"16929","16861","1694"
"20480","15266","1750"
"25136","16861","2363"
"25151","16861","2010"
"28436","28369","72"
"29390","28369","3119"
"31964","28369","2774"
"32028","28369","2603"
"36880","36877","137"
"36882","36877","1585"
"36883","36877","2098"
"36885","36877","1820"
"38884","38875","2859"
"38885","38875","658"
"38886","38875","813"
"39035","38875","999"
"39128","38875","2169"
"39148","38875","1820"
"39164","38875","1820"
"40069","39929","3207"
"49485","49455","3148"
"55224","55218","1444"
"55226","55218","2257"
"55227","55218","338"
"55233","55218","305"
"55241","55218","673"
"55245","55218","3002"
"55247","55218","4926"
"55249","55218","5056"
"55298","55218","4913"
"55324","55218","255"
"55377","36877","5674"
"55647","55643","658"
"55690","55643","4137"
"56537","54230","4309"
"60180","60174","1862"
"60195","60174","567"
"60442","60174","797"
"60496","60174","1109"
"60530","60174","1897"
"64118","55643","8250"
"64708","64631","6726"
"64719","64631","8123"
"64722","64631","8815"
"67714","64631","7913"
"69989","69979","5190"
"69995","69979","10943"
"70003","69979","11192"
"70025","69979","83819"
"70145","69979","11181"
"70447","64631","10080"
"70712","70653","6267"
"70832","70653","4966"
"70915","70653","745"
"71358","71328","1968"
"71431","71328","6260"
"71439","71328","184"
"71444","71328","2169"
"71541","71328","10682"
"71568","71328","745"
"71612","71328","11910"
"71635","71328","287"
"74043","73947","7154"
"74063","73947","12870"
"74069","73947","12471"
"74128","73947","7122"
"74242","73947","7068"
"74432","74358","7230"
"74448","73947","12657"
"74505","73947","8815"
"74841","73947","5674"
"76565","76359","8815"
"77396","71328","13978"
"77689","71328","13320"
"79423","73947","14253"
"80008","70653","14107"
"80630","80612","14132"
"80637","80612","14977"
"80647","80612","5330"
"80652","80612","14860"
"80672","80612",""
"80695","80612","3839"
"81416","80612","4134"
"82097","80612","8361"
"84984","80612","16331"
"86061","657","9816"
"90420","90413","4869"
"90438","90413",""
"90455","90413","6043"
"90959","90413","15625"
"91680","90413","15109"
"93184","93100","1220"
"93225","93100","10174"
"93247","93100","5055"
"93258","93100","1115144"
"93857","16861","17898"
"98020","97984","14979"
"98021","97984","11318"
"98023","97984","15578"
"104790","97984","19165"
"107838","49455","5822"
"110110","49455","9042"
"110576","110575","1820"
"112819","112768","6760"
"112895","112768","18184"
"116237","110575","20579"
"116305","110575","6726"
"121100","120977","13005"
"123526","123499","17160"
"127658","127638","3333"
"127694","127638","2859"
"127738","127638","14897"
"127835","127638","11181"
"129713","129677","7548"
"129736","129677","2859"
"129760","129677","15099"
"129767","129677","8815"
"130323","129677","18180"
"133130","132134","2745"
"133427","132134","7211"
"134137","134099","2083"
"134138","134099","3043"
"134172","134099","18180"
"137019","131902","3896"
"137066","131902","2976"
"137118","131902","22465"
"137167","131902","10427"
"140495","140439","4319"
"140737","140439","15366"
"141729","140439","8247"
"144087","143632","22351"
"145004","93100","19799"
"146845","146839","5190"
"146847","146839",""
"146861","146839",""
"146954","146839","11181"
"147831","146839","1384"
"148076","148068","15031"
"153339","140439","21093"
"154884","154844","6521"
"157974","157938","14028"
"157975","157938","3171"
"158180","157938","19533"
"158221","157938","13831"
"158248","157938","10897"
"158387","157938","20486"
"158450","157938",""
"159120","159114","96"
"159136","159114","655"
"159165","159114","2424"
"159206","159114","14688"
"159248","159114","8815"
"159272","159114","4257"
"160042","157938","6899"
"160053","157938","1965"
"169200","148068","24950"
"172053","172040","24630"
"172058","172040","22586"
"172086","172040","7921"
"172137","172040","2603"
"172145","172040","18107"
"172244","172040","2990"
"172398","172392","13051"
"172420","172392","2150"
"172430","172392","12950"
"155212","154844",""
"155141","154844","20903"
"154892","154844",""
"154878","154844","8815"
"132190","132134","12895"
"132160","132134","12870"
"132158","132134","8934"
"132141","132134","377"
"132095","131902","15214"
"132086","131017","15487"
"131984","131902","16511"
"131965","131902","19468"
"131911","131902","4853"
"131101","131017",""
"131084","131017","6441"
"131074","131017","14897"
"131064","131017","4193"
"130534","129677","18077"
"121076","120977","2603"
"110596","110575","13724"
"109438","97984","10080"
"101843","97984","7819"
"101696","97984","9951"
"98120","97984","8427"
"98048","97984","3720"
"98046","97984","12038"
"98042","97984","11078"
"97339","93100","13559"
"85951","657","12597"
"82860","80612","12647"
"77349","71328","13864"
"77320","71328","3542"
"77290","71328","7548"
"76528","76359","1425"
"75879","71328","8973"
"75839","71328",""
"67739","64631","2976"
"57672","55218","5961"
"15963","15266","188"
"3965","328","538"
"1684","657","115"
"691","657","34"
"335","328","50"
"331","328","58"
"77376","71328","13518"
"40458","38875","1902010"
"172437","172392","21234"
"172449","172392","14577"
"172458","172392","10080"
"173731","173727","3215"
"173746","173727","16724"
"173750","173727","419"
"173754","173727","9403"
