id,owner_user_id
"8021","742"
"29061","1438"
"33412","1310"
"33829","338"
"39135","1109"
"43199","4287"
"57384","5548"
"70170","518"
"72304","4893"
"78869","14569"
"84096","6329"
"84680","13379"
"96945","7867"
"97137","11760"
"102425","13116"
"102778","3029"
"112396","14191"
"116415","16685"
"123902","6061"
"126798","942"
"137212","3150"
"140113","11612"
"143523","12344"
"150167","1310"
"153220","5469"
"161160","24409"
"163113","13930"
"178479","15816"
"181341","20713"
"182133","6414"
"183830","8217"
"190376","18393"
"190912","9816"
"221149","15441"
"232584",""
"232839",""
"233217","23420"
"244283","4792"
"248562","2495576"
"256899","24039"
"267738",""
"271090","11688"
"271518","29600"
"288289","30807"
"288500","29690"
"295163","26465"
"295436","38218"
"300334",""
"303028","39057"
"304268","24998"
"308609","6992"
"309202","30381"
"311243","14663"
"318781","7188"
"319634","40807"
"320355","33167"
"320477","315650"
"325637","15441"
"338578","25680"
"339004","9922"
"339531","13143"
"340820","446733"
"346225",""
"347056",""
"353010","26334"
"361231","1322"
"363329","36131"
"367530","44534"
"368792","4893"
"372268","18103"
"373518","943"
"376551","12930"
"376561","17712"
"377901","33468"
"385907","29860"
"390150","18406"
"407990","23309"
"411037","2128202"
"411331","42891"
"415953","356145"
"427046",""
"427821","52063"
"430755","27657"
"437375","16457"
"438508","30294"
"440463","32670"
"443151","15255"
"453925","50175"
"472739",""
"473566","2362"
"476640","1293123"
"480895","1322"
"485023","55176"
"494860","27657"
"496651","14128"
"510846","62346"
"517527","17337"
"520255",""
"530972","27657"
"531096","14893"
"537596","64912"
"543896","1310"
"545082","988"
"545667","28482"
"547219","13379"
"552982","58965"
"556670","32043"
"561938","56604"
"565531",""
"567482","27563"
"568227","68759"
"570450","27247"
"571081","24643"
"580686","67517"
"581655","62346"
"587357","9922"
"592403",""
"610896",""
"612121","56333"
"622732",""
"626043","12631"
"628416","68473"
"636172","5144"
"637496","31379"
"646224","3916"
"663397","51021"
"683885","76393"
"684081","63814"
"687291",""
"687787","54645"
"691222","79168"
"696793","73921"
"700476","10098"
"705728","1310"
"706856","75650"
"719556","80274"
"719747","80779"
"723129",""
"729195","74716"
"729203",""
"733753","89021"
"752890",""
"754205",""
"756133","54964"
"759722",""
"759800",""
"762459","35281"
"770969","27328"
"785652","95462"
"785973","22996"
"797090","29156"
"800172","45507"
"804023","1432"
"805153","71700"
"805329","54964"
"806169","7144"
"808988","98932"
"810493","21234"
"811590","50198"
"812275","99476"
"820261","38238"
"825638","96617"
"829522","13321"
"836007","5540"
"836281","48725"
"836520","2993381"
"839051","15255"
"839213","94352"
"840279","24946"
"841446","97210"
"842222","42551"
"846957","27328"
"848205","104779"
"848734","82804"
"850497","35881"
"851093","94352"
"851623",""
"852453","104143"
"853332","80530"
"859111","18103"
"859218","4787"
"862571","94352"
"865460",""
"867751","69178"
"868776",""
"869255","107762"
"869589","42201"
"874903","107178"
"875467","20941"
"885005","6013"
"885810","109691"
"886397","87942"
"888346","29286"
"889406","4828"
"890935","98050"
"900763",""
"901251",""
"906210","45959"
"906402","12537"
"908748","107312"
"909979",""
"914069","325418"
"916061","1310"
"920809","81938"
"924968","1969"
"925377","114226"
"933483","31379"
"934474","36955"
"935666","14007"
"937412",""
"944679","113197"
"948933","108869"
"949190","108869"
"950885","45582"
"951477","6432"
"955399","85095"
"955624","105413"
"956657",""
"964547","112495"
"967194","41241"
"968565","1119"
"975054","15441"
"977321","120747"
"979910","16853"
"984644","108869"
"986892","61530"
"991703","99248"
"992019","91414"
"995035","89266"
"995514","95877"
"997304",""
"1000347","115868"
"1001179","123661"
"1003365",""
"1009766","124696"
"1009996",""
"1010356","15441"
"1012363","75629"
"1012792","125121"
"1013032",""
"1016372","123684"
"1019837","89904"
"1028388","17712"
"1031558","100751"
"1032721","6992"
"1033947","2138"
"1037009","59241"
"1037590","15255"
"1044986","104459"
"1045895","7883"
"1051953","46799"
"1061171","89904"
"1069142","6013"
"1075128","116880"
"1079077","30967"
"1089600","103260"
"1093202","108869"
"1093817","96412"
"1105913","135856"
"1107007","22935"
"1114685","133943"
"1115739",""
"1122324","99877"
"1130904",""
"1132567","104998"
"1135446","48793"
"1139447","13825"
"1169123","73948"
"1170185","132112"
"1175074","114487"
"1175352","144173"
"1187949","109191"
"1199802",""
"1202535","2140183"
"1205135","88448"
"1206494",""
"1211333",""
"1217046","89904"
"1225633","46799"
"1226083","136451"
"1227478","23681"
"1233206","130858"
"1234598","55921"
"1236481",""
"1238763","11236"
"1240575","78182"
"1244607","53060"
"1244717","92239"
"1247637","152109"
"1250319","73315"
"1255083",""
"1258404","4843"
"1264262","46698"
"1265488","149732"
"1269359",""
"1269735","65412"
"1270703","109012"
"1277378",""
"1283982","89904"
"1284771","89904"
"1287450","145204"
"1291584",""
"1291978","89904"
"1301297","142110"
"1303220","159668"
