postid,links,tags,title,question,answers,uniq,raw,words,len,ratio,probability
4802,https://api.github.com/repos/jruby/jruby/issues/4802,issue,ubuntu certif verifi fail error www googl com,ubuntu machin tri connect www googl com throw openssl ssl sslerror certif verifi fail ubuntu packag got upgrad appar affect cert file certif verif guess break jrubi somehow thought bug one packag still work without issu follow code work irb rubi ubuntu jrubi mac jrubi ubuntu machin environ jrubi version command line flag jrubi opt etc jrubi e c openjdk bit server vm b u b ubuntu b jit linux x oper system platform e g linux momoserv gener ubuntu smp tue sep utc x x x gnu linux expect behavior www googl com ssl certif verifi without issu actual behavior openssl ssl sslerror certif verifi fail,provid object work without issu guess must someth go wrong jrubi default system cert store anoth point clarif get verifi error googl com get site yahoo com exampl see issu certif latest updat threw equifax verisign certif still tri valid still present certif chain check certif chain site use tool meantim try instal previou version packag guess behavior incorrect jrubi sinc mri curl seem base look issu unnecessarili check cert chain need downgrad seem work temporari solut updat addit downgrad need updat remov front equifax list ran fetch miss certif usual problem bad ca cert java side compar nativ size mri assum latest jrubi openssl yes jrubi openssl suppos system cert challeng integr built bless cert jdk one system yes use default jrubi openssl come jrubi look latest version yes happen latest jrubi openssl correctli use system cert system cert equifax root cert remov latest updat ca certif similar distribut problem seem trust root cert somehow cross sign invalid equifax root cert normal openssl seem stop check chain find trust jrubi openssl keep check cert chain quit deep enough whole topic know cross sign actual work assum openssl exampl window correct thing googl appl certif issu reproduc variou differ machin distribut given alreadi got latest ca certif updat hmmm perhap config deep verifi say sound jrubi right thing ignor nativ openssl wrong thing actual wrong well say jrubi openssl librari right thing rather assum librari correct thing deep enough topic make decis seem nobodi els suddenli claim certif invalid post referenc jrubi openssl issu explain situat quit well seem issu equifax certif revok appl certif probabl similar one certif got revok recent updat oh regard verif depth tri set seem ignor work intend workaround opinion crazi file encount issu use phantom ubuntu instruct downgrad temporarili fix problem us say temporarili hey want pull cert point use jrubi comment solidar sake respons deep enough topic make decis seem nobodi els suddenli claim certif invalid least docraptor thank seem cert chang caus problem least one project well download ubuntu reproduc local see come anyth well good news fulli updat ubuntu abl run script without error howev jrubi openssl issu still open sure fix environ reflect someon post version ca certif introduc problem confirm version contain follow line prefix line sign run privileg user reproduc ca certif ok updat ca certif inde reproduc issu fix abl drop jrubi openssl updat shortli confirm set sslcontext verifi depth solv problem either tri via http start keyword arg verifi depth hardcod http connect confirm depth set actual get right place jrubi openssl ok clue pass java dump whole process see inde try verifi equifax see issuer geotrust certif associ googl certif check root certif ubuntu geotrust cert issu geotrust howev grep equifax jdk instal u origin report hit go try confirm geotrust cert jdk u still associ equifax simpl matter date cert openjdk yeah weird see discrep maco well equifax cert exclud keychain geotrust global ca javax net debug log unabl figur get geotrust equifax cert confirm still break openjdk u tri updat java ca cert geotrust global ca still seem think issu equifax anoth attempt forgotten debian base dist try share cacert across jdk ca certif java packag etc ssl cert java cacert latest packag version find refer experian cacert file tri forcibl updat geotrust cert global cacert appear help forcibl updat ca certif java lastest debian packag appear help mayb relat issu year ago hmm see sort order problem caus thing continu explor logic jrubi jrubi openssl storecontext verifycertif logic mimic ssl librari acquir verifi certif chain problem still seem get bad certif chain prepar logic proce confirm last cert chain self sign certif store indic trust root current case certif come geotrust equifax cert unknown origin self sign attempt acquir issuer certif equifac cert longer avail equifax come run strace java seem show look cacert jdk instal dump complet keystor refer equifax ok confirm cert come java keystor correct root geotrust global ca certif self sign self issu figur equifax come connect part packet read handshak negoti either suppos someth els data run revok equifax cert make request googl send us bad cert info think final figur wrong googl com send chain certif still contain geotrust global ca certif claim issu equifax howev equifax certif longer trust context context right thing pre openssl clone howev openssl chang verifi certif chain around chang detail allow verif logic substitut certif trust store untrust cert come back connect case see better newer cert geotrust global ca one instead bad equifax issu cert googl return us sure best moment part storecontext verifycertif method mention earlier still confus googl appar appl other still return bad root certif well progress follow patch test script work properli serious doubt right patch basic eagerli search incom chain cert look match dn trust store replac incom cert trust cert replac bad geotrust cert good one work right openssl logic appear lazili need studi figur proper fix someon els want jump let know updat patch jrubi jrubi openssl bit cleaner need heavi review logic openssl spread appear attempt replac cert untrust list equival cert store proceed verif version cert untrust list turn none left one get replac replac rest chain toss sinc trust root fix updat releas jrubi openssl releas updat anyon long time chanc gener heal old cert dump cas updat retri jrubi ubuntu latest packag everyth work properli yep seem appl googl updat certif chain certif chain mess seem resolv report jossl good,11,114,certificate|openssl|ssl|signing|validate|integrity|trust|scripting|privilege|forge|availability,1028,0.11089494163424124,0.6849341988563538
15031,https://api.github.com/repos/fastlane/fastlane/issues/15031,issue,match gener profil new xcode certif attach,featur request motiv behind featur abl xcode beta devic ci featur descript xcode new kind develop certif actual kind develop certif one xcode x one xcode x provis profil gener connect xcode x cert nice everi profil gener support cert,seem issu relat code sign entri sign seen new code sign troubleshoot help resolv common code sign issu issu xcode beta produc error provis profil ok xcode error anyth point abl workaround edit appropri provis profil develop portal addit certif includ profil label xcode later select download profil xcode got go issu workarround creat certif profil manual encrypt add certif repo match differ name certif branch type nice fastlan support new type certif issu well fix manual updat profil hanstad everi time add new devic profil pretti pleas issu know certif includ develop provis file woah appl make wors manual creat profil fix xcode later xcode releas pleas updat liter want throw comput window everi time crappl break thing pleas fix bump problem live still unsolv bump bump run well get error well gym log code sign error provis profil match appstor com mydomain app support icloud com mydomain app icloud contain code sign error code sign requir product type applic sdk ios bump bump bump issu issu workaround yeah app therefor profil dev distribut want time add new devic regener credenti idea behind open issu thank realli handi henc use word workaround anyon abl new appl distribut certif success fastlan repositori abl new provis profil workaround anytim try export appl distribut certif import repositori use end result whoever call function abl privat key cert build fail export cer p normal done keychain access issu workarround creat certif profil manual encrypt add certif repo match differ name certif branch type nice fastlan support new type certif go import new certif repo got profil wonder export incorrectli keychain access right click main cer export export key arrow ever work run match make separ step need need stuff go lie particular problem brought ci cd pipe screech halt sinc xcode get tire patch fastlan understand deal work around come tough decis took last day script whole ci pure use bash xcodebuild longer reliant rd parti tool except cocoapod even pod soon becom swift packag even shave coupl minut build time even run catlina beta version spare machin tell chang come mac hell even instal rbenv dang cocoapod instal think use fastlan year good ride appl keep stick damn shame alway top list tool hope meet fastlan definit miss mayb silli question rememb encrypt file ad certif repo step success decrypt encrypt push git provis profil download perfectli appl distribut certif work mayb silli question rememb encrypt file ad certif repo yeah got work around work migrat fastlan ugh break chang kill ci cd pipelin appl frustrat sometim newbi let share workaround option nuke previou certif provis profil avoid confus new certif provis profil edit connect follow new certif instead creat new one manual creat new develop distribut certif new option download regist invalid provis profil creat new certif creat edit exist provis profil new certif download valid provis export cer p keychain access cer file right click certif export p file select certif privat key togeth right click export password sinc fastlan support chang cer p file name appropri certif identifi check appl develop unfold instruct follow decrypt instruct link enabl manual edit github repo contain certif provis done instruct find certif repo folder start var folder updat certif provis profil newli creat chang one p cer mobileprovis file manual commit chang follow encrypt instruct link believ repo success updat new certif provis profil work ci well hope help go lie particular problem brought ci cd pipe screech halt sinc xcode get tire patch fastlan understand deal work around come tough decis took last day script whole ci pure use bash xcodebuild longer reliant rd parti tool except cocoapod even pod soon becom swift packag even shave coupl minut build time even run catlina beta version spare machin tell chang come mac hell even instal rbenv dang cocoapod instal think use fastlan year good ride appl keep stick damn shame alway top list tool hope meet fastlan definit miss sole respons script cannot pass blame anyon els anymor break hero sir wow that awesom thought write bash appl chang thing often mainten hell think make effort public go lie particular problem brought ci cd pipe screech halt sinc xcode get tire patch fastlan understand deal work around come tough decis took last day script whole ci pure use bash xcodebuild longer reliant rd parti tool except cocoapod even pod soon becom swift packag even shave coupl minut build time even run catlina beta version spare machin tell chang come mac hell even instal rbenv dang cocoapod instal think use fastlan year good ride appl keep stick damn shame alway top list tool hope meet fastlan definit miss sole respons script cannot pass blame anyon els anymor break probabl terrifi reason ever heard rd parti librari go assum joke probabl terrifi reason ever heard rd parti librari go assum joke apologis ad smiley sarcasm sarcasm level truth well see problem drop fastlan write script script break fastlan happen fastlan appl tell made break chang either fix well thing win make fix faster pay loos time time spent thing even fastlan fix slowli still fix point effort wait updat fastlan fix thing everyth loos time depend fastlan rd parti tool loos time provid fix made point loos patienc patienc alway regain time never regain loos patienc cost nobodi thing ok mayb saniti loos time cost everyth anyon still face issu still face issu fastlan script work properli xcode script break execut xcode error messag mention provis profil includ sign certif gener provis profil manual select xcode display error work fine xcode ps new provis profil creat use match command execut fast lane script environ anyon still face issu still face issu fastlan script work properli xcode script break execut xcode error messag mention provis profil includ sign certif gener provis profil manual select xcode display error work fine xcode ps new provis profil creat use match command execut fast lane script environ either follow suggest least time issu first appear found remov nuke non xcode certif favor new appl develop distribut certif type resolv issu everi time anoth ios develop gener older cert type notic ci build fail sign sure continu happen anyon still face issu still face issu fastlan script work properli xcode script break execut xcode error messag mention provis profil includ sign certif gener provis profil manual select xcode display error work fine xcode ps new provis profil creat use match command execut fast lane script environ either follow suggest least time issu first appear found remov nuke non xcode certif favor new appl develop distribut certif type resolv issu everi time anoth ios develop gener older cert type notic ci build fail sign sure continu happen try suggest thank time run xcode non xcode certif revok time none ios develop gener older type certif updat sure udpat issu think right dev xcode other use xcode seem rais issu ideal everybodi xcode version problem team provis profil associ one certif time seem associ profil xcode cert abl export ipa xcode associ older cert abl export ipa xcode manag success export ipa upload apc local mac instal xcode gener new appl distribut certif xcode xcode tell appl distribut certif found unfortun run fastlan lane mac simul ci mac run match build gym fail export cert use match store git repo non xcode one undesrtand option nuke cert run fastan match gener appl cert true dev ci switch xcode unfortun work nuke cert ran match xcode one still exit statu updat implement fastlan system xcode work fine termin well jenkin face issu xcode chanc possibl failur xcode distribut certif gener xcode environ sure udpat issu think right dev xcode other use xcode seem rais issu ideal everybodi xcode version problem team provis profil associ one certif time seem associ profil xcode cert abl export ipa xcode associ older cert abl export ipa xcode manag success export ipa upload apc local mac instal xcode gener new appl distribut certif xcode xcode tell appl distribut certif found unfortun run fastlan lane mac simul ci mac run match build gym fail export cert use match store git repo non xcode one undesrtand option nuke cert run fastan match gener appl cert true dev ci switch xcode unfortun work nuke cert ran match xcode one still exit statu hi per conclus follow step time implement xcode e provision profil associ xcode cert solut work case develop multipl xcode version issu help pleas similar problem xcode show provis profil match develop org auderenow fluathom us includ sign certif iphon develop auder iosdev longstr right use fastlan maco seem mismatch new certif creat appl develop auder iosdev new profil seem referenc old certif name iphon develop auder iosdev gone case help follow open keychain manual delet old iphon develop certif help xcode error chang certif team auder match iphon develop auder iosdev longstr found select differ sign certif code sign ident team match select certif switch automat provis manag certif button click pop list certif includ newli creat auder iosdev certif type appl develop want select unabl select certif dialog desper tri restart xcode reboot mac run variat mani time download new cert profil appl develop portal doubl click manual add noth help dev switch xcode figur profil still point iphon develop certif nuke regener figur edit code sign ident project pbxproj still referenc iphon develop updat appl develop xcode error went away thank figur edit code sign ident project pbxproj still referenc iphon develop updat appl develop xcode error went away thank mmm weird anyth iphon develop appl develop chang anyth project includ today widget notif servic remov stage target issu releas target though work moment start ci qa process without today widget notif servic certif profil one project expir suddenli begun experienc issu cert must creat xcode releas last year work encount issu seem latest version xcode newli gener cert profil work brought develop crush halt reli heavili ci cd fiddl xcode set manual option appear work anyway base prior comment curiou issu receiv fastlan develop attent pretti seriou issu effect kill key benefit deal everi year cert profil expir make build ci cd pretti much imposs build deploy realli nice fastlan fix soon continu use xcode anybodi els wonder updat xcode without manual step comment fastlan updat match cert sigh mention solv go certif github repo remov cert cert p profil link old certif import went appl develop portal revok ios develop ios distribut cert well delet profil link cert portal creat new xcode cert either type develop distribut revok match new flag recreat link everyth anybodi els wonder updat xcode without manual step comment fastlan updat match cert sigh mention solv go certif github repo remov cert cert p profil link old certif import went appl develop portal revok ios develop ios distribut cert well delet profil link cert portal creat new xcode cert either type develop distribut revok match new flag recreat link everyth necessari revok certif profil appl develop portal github repo mean start code sign scratch e creat new sign certif provision profil,10,118,certificate|scripting|signing|encrypt|crypt|credential|private key|validate|password|sanitise,1889,0.06246691371095818,0.6764913201332092
2270,https://api.github.com/repos/rubygems/rubygems/issues/2270,issue,rubi instal ssl cyberroam certif error,tri instal gem show error pleas help gem instal rail error ssl verif error depth self sign certif certif chain error root certif trust c st gujarat l ahmedabad cyberoam ou cyberoam certif author cn cyberoam ssl ca c emailaddress support ssl verif error depth self sign certif certif chain error root certif trust c st gujarat l ahmedabad cyberoam ou cyberoam certif author cn cyberoam ssl ca c emailaddress support ssl verif error depth self sign certif certif chain error root certif trust c st gujarat l ahmedabad cyberoam ou cyberoam certif author cn cyberoam ssl ca c emailaddress support find valid gem rail unabl download data ssl connect return errno state error certif verifi fail self sign certif certif chain ssl verif error depth self sign certif certif chain error root certif trust c st gujarat l ahmedabad cyberoam ou cyberoam certif author cn cyberoam ssl ca c emailaddress support ssl verif error depth self sign certif certif chain error root certif trust c st gujarat l ahmedabad cyberoam ou cyberoam certif author cn cyberoam ssl ca c emailaddress support,go close sinc problem certif gener rather rubygem check troubleshoot issu,6,54,ssl|certificate|signing|trust|authorise|validate,200,0.27,0.6601212024688721
12486,https://api.github.com/repos/fastlane/fastlane/issues/12486,issue,add option cert download certif,featur rquest motiv behind featur ci build privat key code sign certif instal machin certif expir privat key creat new certif sign request new certif abl autom download new certif part fastlan build featur descript action almost handl except certif expir creat new privat key new certif abl pass option action e g similar make fail build certif expir current behaviour workabl sign key share multipl rd parti supplier deploy compani app store account distribut new privat key non trivial new behaviour happen option specifi impact exist user altern workaround current workaround manual copi certif build machin updat certif id specifi paramet action,seem issu relat code sign entri sign seen new code sign troubleshoot help resolv common code sign issu seem includ output make easier us help resolv issu pleas updat issu includ output relev featur request awar code sign troubleshoot guid fit use fastlan activ issu recent due high number incom github notif clean old issu mani alreadi resolv latest updat pleas make sure updat latest version check solv issu let us know work ad comment issu yet resolv activ issu recent due high number incom github notif clean old issu mani alreadi resolv latest updat pleas make sure updat latest version check solv issu let us know work ad comment issu yet resolv activ issu recent due high number incom github notif clean old issu mani alreadi resolv latest updat pleas make sure updat latest version check solv issu let us know work ad comment issu yet resolv research logic option creat clarif need though certif expir privat key creat new certif sign request new certif fastlan action cert action almost handl except certif expir creat new privat key new certif exactli need creat new certif use privat key suppli action b fail new certif creat old one expir except certif expir sure check certif expir code honest certif expir privat key creat new certif sign request new certif fastlan action manual step involv coordin third parti cert action almost handl except certif expir creat new privat key new certif exactli need creat new certif use privat key suppli action b fail new certif creat old one expir want control new certif creat switch new one enterpris app need know go expir mean roll new version app except certif expir sure cert check certif expir code honest think call line return certif invalid think find exist cert call line runner rb return nil certif invalid realli find goe relev download certif tri see instal cach return none relev certif fulfil requir explicit filter expir use undocu normal work certif idea look return certif expir cert keychain appear list return yay side effect ok definit document actual make viabl similar param want creat pr hard throw someth togeth activ issu recent due high number incom github notif clean old issu mani alreadi resolv latest updat pleas make sure updat latest version check solv issu let us know work ad comment issu auto close activ month feel free open new still experi problem activ issu recent due high number incom github notif clean old issu mani alreadi resolv latest updat pleas make sure updat latest version check solv issu let us know work ad comment issu auto close activ month feel free open new still experi problem,5,59,certificate|private key|signing|scripting|validate,554,0.10649819494584838,0.6426572203636169
1758,https://api.github.com/repos/rubygems/rubygems/issues/1758,issue,ssl certif verifi failur,tri instal jekyl use gem everi time error type type return openssl l jan type return abid code conduct hope guy help thank,hi look run issu discuss follow step mention link see fix let know need help problem updat rubygem without luck stil get error unabl download data ssl connect return errno state error certif verifi fail error copi new cert describ solv alreadi still luck solut expos work run updat script ad globalsignrootca pem file folder ssl cert folder still error info get exact issu even follow step updat script ad pem file see someon knowledg kind thing take look sorri troubl encount two separ system last two day idea solv first time found thread yet know pain tonight manual solut link trick want take thread boat instal rubi rubygem tri instal gem ssl certif verifi failur went manual step still ssl certif verifi problem notic fguillen use rbenv use rvm osx anyth help diagnos will help use rvm similar issu follow step help tri instruct use rvm updat certif resolv issu see current statu updat okay look case use variou rubi version manag thank inform anyon still issu use rvm pleas try run let know fix still problem use rvm pleas let know use version manag rbenv chrubi etc one thank use rvm osx sierra el capitan rvm osx ssl cert updat work yosemit howev resolv issu rvm osx ssl cert updat updat certif usr local etc openssl cert pem alreadi date updat certif etc openssl cert pem alreadi date gem instal jira error find valid gem jira unabl download data ssl connect return errno state sslv read server certif b certif verifi fail latest rvm run yosemit osx hmm okay thank rvm osx ssl cert updat command fairli frequent although cron task automat alreadi use command throw thread seem help linux test server use rvm problem server mac run el capitan check see problem notic bundler seem work correctli despit problem experienc ssl certif verif issu rubi ibm manual fix upgrad fix rubygem latest improv ssl error messag follow direct see fork option site updat guid someth somebodi core team recommend tell error ssl verif error depth certif expir error certif c globalsign nv sa ou root ca cn globalsign root ca expir z error ssl verif error depth certif expir error certif c globalsign nv sa ou root ca cn globalsign root ca expir z error ssl verif error depth certif expir error certif c globalsign nv sa ou root ca cn globalsign root ca expir z error find valid gem rail unabl download data ssl connect return errno state error certif verifi fail ssl verif error depth certif expir error certif c globalsign nv sa ou root ca cn globalsign root ca expir z expir globalsign somewher ca certif list need remov sure still ship certif sinc regener one ship rubygem nine year ago figur download ca bundl file issu remov potenti fix use homebrew packag manag time sever older version openssl instal homebrew exact step follow seem fix rvm implod brew uninstal openssl forc reinstal rvm instal rubi point rvm reinstal openssl j via homebrew gem instal success thing figur rvm use ca bundl much older openssl version remov long ago edit add multipl version openssl must forc remov fix work tri run suggest updat openssl j updat osx none seem make differ thank updat work os x know safe forc uninstal old version openssl someon know os x better tell risk someth reli one remov version reason avoid ad inform guid manag solv problem os x follow post updat rubygem conflict node openssl instal homebrew sure part reason basic need instal rvm without rubi instal rubi whithout binari case fix work well thank thread symptom turn answer instrument realiz mislav awesom binari rubi link wrong thing system thank imho great help page highlight possibl widespread issu rvm user osx let know help achiev hi issu coupl week ago gem instal rvm homebrew osx solut run current rubi output rubi use version openssl contain old cert check openssl version via instal updat openssl via brew put instal rubi via rvm specifi new openssl directori help know unlink previou version openssl appreci help thank guy similar issu today problem case seem instal process interact macport macport default setup openssl cert file come packag openssl cert pem symlink file macport curl instal appar overwrit openssl cert pem file therefor target link someth date ask root password even lead follow error rubygem seen manual instal error ssl verif error depth certif expir error certif c globalsign nv sa ou root ca cn globalsign root ca expir z error execut gem gem remotefetch fetcherror ssl connect return errno state error certif verifi fail run success work fix work manual upgrad rubygem well instal rubi rvm run two port command work get current rubygem fix clean rvm rubi instal replic ssl error two side note complic debug offici doc deal ssl error refer rubygem instruct manual instal certif link impact version anyth tri without macport cert packag version rubygem put probabl wrong issu first sorri method work tri solut suggest solut includ updat cert variou brew command osx ca bundl updat mani solut work macport definit given solut chanc implod rvm last resort afraid depend issu reinstal variou obscur gem work everyth work clear gb preciou unders mac ssd space touch brew ssl instal sinc somehow link anaconda instal though suspect work teach better packag manag either write comment summar solut add guid info fantast use os x decad troubl understand solut mention work guid guid repo specif file ssl cert updat guid proofread necessari afterward sorri month late respons none work found follow short version reason dim dark past creat env variabl ssl cert file usr local etc openssl cert cert pem probabl tls issu homebrew fix option rubygem tls failur either unset var append updat globalsign pem end cert pem file long version follow instruct updat acquir latest globalsign cert roughli follow sinc r still sha download r addit follow rbenv doc place new pem rbenv version lib rubi rubygem ssl cert directori result disappoint clear cert rbenv path ignor check maco keychain globalsign cert orthogon discuss referenc updat curl ca bundl led investig homebrew cert path tbc append sha r mention still fix rubygem issu rubygem connect succeed append sha r pem homebrew cert pem fwiw platform maco sierra beta rbenv rubi mgt rubi shell global back play test kitchen kitchen ansibl etc tri set jekyl ran issu follow step manual instal updat rubi gem follow step upgrad homebrew openssl still luck encount issu maco machin current work usual mac user confus thank much everyon share experi tri guid tri solut mani found luck still get error error execut gem gem remotefetch fetcherror ssl connect return errno state sslv read server certif b certif verifi fail use rvm rubi cert alreadi updat hope compar note come ish deal issu problem insid mhart alpin node docker contain final found straightforward fix appli other regard error error ssl verif error depth certif expir error certif c globalsign nv sa ou root ca cn globalsign root ca expir z error execut gem gem remotefetch fetcherror ssl connect return errno state error certif verifi fail mac instal rubi version use rvm fix run rvm uninstal version rubi shown output rvm list rm rf rubi rvm instal never saw error instal gem thank work resolv problem simpl line export ssl cert file usr local etc openssl cert pem close anyon issu relat ssl pleas open new issu detail problem,10,112,ssl|certificate|openssl|scripting|signing|validate|safe|password|tls|sha,1264,0.08860759493670886,0.6388949155807495
1831,https://api.github.com/repos/rubygems/rubygems/issues/1831,issue,error ssl verif error depth certif expir,problem suggest featur current problem tri gem instal bundl follow messag error ssl verif error depth certif expir error certif c globalsign nv sa ou root ca cn globalsign root ca expir z error ssl verif error depth certif expir error certif c globalsign nv sa ou root ca cn globalsign root ca expir z error ssl verif error depth certif expir error certif c globalsign nv sa ou root ca cn globalsign root ca expir z error find valid gem bundler unabl download data ssl connect return errno state sslv read server certif b certif verifi fail ssl verif error depth certif expir error certif c globalsign nv sa ou root ca cn globalsign root ca expir z manual updat file instruct issu relat network problem instal librari publish librari x command line current environ detail abid code,close still experienc origin issu afraid open ticket,4,27,ssl|certificate|signing|validate,155,0.17419354838709677,0.6072248220443726
13079,https://api.github.com/repos/fastlane/fastlane/issues/13079,issue,provis profil com compani app appstor includ sign certif iphon,question checklist x updat fastlan latest version x read contribut x read x search exist github question subject codesign issu use gym ios app particular codesign ident sign certif build app command question descript expect cert sigh check certif provis profil abl profil xcode project use build app gym follow factfil return error default platform ios platform ios desc push new beta build testflight lane beta option build number increment build number build number latest testflight build number version number increment version number version number option version number automat code sign automat sign fals team id xzxzxzxzxzx sh echo teamciti buildnumb version number build number cert uuid sigh forc true filenam companynam mobileprovis updat project provis target filter companynam profil companynam mobileprovis build configur option configur build app scheme companynam configur option configur clean true silent true output directori usr local repo ols artifact output name companynam ipa export method app store codesign ident iphon distribut compani name xzxzxzxzxzx export option provisioningprofil com companynam mycompanynam com companynam mycompanynam appstor com companynam mycompanynam com companynam mycompanynam develop option pushtostor upload testflight ipa usr local repo ols artifact companynam ipa end end end run fastlan reciev error left xcode project state develop xyxyxyxyxyx manual reselect provisio profil sign releas back one sign certif chang one specifi iphon distribut compani name xzxzxzxzxzx awar code sign issu mayb fastlan issu help apprici narrow issu thank dean meehan,seem issu relat code sign entri sign seen new code sign troubleshoot help resolv common code sign issu seem includ output make easier us help resolv issu pleas updat issu includ output got problem sign fine use xcode directli fastlan actual got sort although possibl fault xcode love sit write detail guid procedur fix coffe sign issu fix back certif export delet iphon certif try cert sigh gener restart mac add cert tri build app try step see far error fffffffffffff revert svn work statu good luck aug lasseslambertsen wrote got problem sign fine use xcode directli fastlan receiv author thread repli email directli view github mute thread manag final fix problem permiss problem somehow corrupt fix run diskutil resetuserpermiss termin activ issu recent due high number incom github notif clean old issu mani alreadi resolv latest updat pleas make sure updat latest version check solv issu let us know work ad comment issu auto close activ month feel free open new still experi problem,4,25,signing|certificate|scripting|authorise,409,0.061124694376528114,0.5954471230506897
11150,https://api.github.com/repos/fastlane/fastlane/issues/11150,issue,case support fastlan work hashicorp vault code sign,new issu checklist x updat fastlan latest version x read contribut x read x search exist github issu descript wonder case fastlan use hashicorp vault code sign android ios,seem issu relat code sign entri sign seen new code sign troubleshoot help resolv common code sign issu seem includ output make easier us help resolv issu pleas updat issu includ output activ issu recent due high number incom github notif clean old issu mani alreadi resolv latest updat pleas make sure updat latest version check solv issu let us know work ad comment activ issu recent due high number incom github notif clean old issu mani alreadi resolv latest updat pleas make sure updat latest version check solv issu let us know work ad comment anyth built fastlan hashicorp feel free build plugin hashicorp,3,11,hash|signing|scripting,143,0.07692307692307693,0.5847328305244446
13604,https://api.github.com/repos/fastlane/fastlane/issues/13604,issue,local code sign ident found,question checklist x updat fastlan latest version read contribut x read search exist github question subject question descript clone remot git repo clone repo take long option match success decrypt certif repo verifi certif profil still valid dev portal instal certif secur seckeychainsearchcopynext specifi item found keychain local code sign ident found run output stack overflow thread inform keychain access expir wwdr certif info screen shot,seem issu relat code sign entri sign seen new code sign troubleshoot help resolv common code sign issu seem includ output make easier us help resolv issu pleas updat issu includ output command action run thing mention error messag activ issu recent due high number incom github notif clean old issu mani alreadi resolv latest updat pleas make sure updat latest version check solv issu let us know work ad comment issu auto close activ month feel free open new still experi problem,6,14,signing|scripting|crypt|certificate|validate|security,155,0.09032258064516129,0.5765703320503235
10229,https://api.github.com/repos/fastlane/fastlane/issues/10229,issue,incorrect error messag updat provis profil distribut certif connect,new issu checklist x updat fastlan latest version x read contribut x read x search exist github issu descript provis profil distribut certif st certif creat nd creat provis profil connect st distribut certif first certif delet provis profil render invalid try use spaceship add new devic provis profil updat provis profil spaceship complain except class runtimeerror messag pleas login use notic log howev seem anoth error messag perhap spaceship optimist pick first avail nd certif creat output run fastlan includ stack trace command use last commandlin argument collect state appl develop portal distribut certif provis profil connect first distribut certif unprovis devic regist provis profil sequenc reproduc look someth simplifi cours stacktrac spaceship portal login user password client user mikkeljuhl rbenv version lib rubi gem gem fastlan spaceship lib spaceship portal certif rb updat,seem issu relat code sign entri sign seen new code sign troubleshoot help resolv common code sign issu seem includ output make easier us help resolv issu pleas updat issu includ output want launcher instead recommend use activ issu recent due high number incom github notif clean old issu mani alreadi resolv latest updat pleas make sure updat latest version check solv issu let us know work ad comment issu auto close activ month feel free open new still experi problem,7,19,certificate|scripting|validate|login|availability|password|signing,226,0.084070796460177,0.573289155960083
